<|DEU|>ab	a p
<|NLD|>beveiligen	b ə v ɛ i̯ l ə ɣ ə n
<|NLD|>bewaking	b ə ʋ aː k ɪ ŋ
<|NLD|>beweegbaar	b ə ʋ eː x b aː r
<|NLD|>bewindvoerder	b ə ʋ ɪ n t f uː r d ə r
<|NLD|>bezoeken	b ə z u k ə n
<|NLD|>bezuinigen	b ə z œ y̯ n ə ɣ ə n
<|NLD|>bezwaarschrift	b ə z ʋ aː r s x r ɪ f t
<|NLD|>bezweet	b ə z ʋ eː t
<|NLD|>bierbrouwer	b iː r b r ɑ u̯ ə r
<|NLD|>biestmelk	b i s t m ɛ l k
<|NLD|>bijbrengen	b ɛ i̯ b r ɛ ŋ ə n
<|NLD|>bijdrage	b ɛ i̯ d r aː ɣ ə
<|NLD|>bijou	b i ʒ u
<|NLD|>bijtanken	b ɛ i̯ t ɛ ŋ k ə n
<|NLD|>bijwijf	b ɛ i̯ ʋ ɛ i̯ f
<|NLD|>binden	b ɪ n d ə n
<|NLD|>binnentrekken	b ɪ n ə n t r ɛ k ə n
<|NLD|>binnenzak	b ɪ n ə n z ɑ k
<|NLD|>biodanza	b i oː d ɑ n z aː
<|NLD|>bits	b ɪ t s
<|NLD|>bivak	b i v ɑ k
<|NLD|>bladeren	b l aː d ə r ə n
<|NLD|>blauw	b l ɑ u̯
<|NLD|>bleek	b l eː k
<|NLD|>bleekselderij	b l eː k s ɛ l d ə r ɛ i̯
<|NLD|>bleker	b l eː k ə r
<|NLD|>blog	b l ɔ x
<|NLD|>blondine	b l ɔ n d iː n ə
<|NLD|>blut	b l ʏ t
<|NLD|>boa	b oː aː
<|NLD|>bod	b ɔ t
<|NLD|>bodemonderzoek	b oː d ə m ɔ n d ə r z u k
<|NLD|>boedapest	b u d aː p ɛ s t
<|NLD|>boekjaar	b u k j aː r
<|NLD|>bolsward	b ɔ l s ʋ ɑ r t
<|NLD|>bolvormig	b ɔ l v ɔ r m ə x
<|NLD|>borger	b ɔ r ɣ ə r
<|NLD|>borrel	b ɔ r ə l
<|NLD|>borst	b ɔ r s t
<|NLD|>bosnië	b ɔ s n i ə
<|NLD|>boswachter	b ɔ s ʋ ɑ x t ə r
<|NLD|>botsing	b ɔ t s ɪ ŋ
<|NLD|>botswana	b ɔ t s ʋ aː n aː
<|NLD|>botten	b ɔ t ə n
<|NLD|>bovenal	b oː v ə n ɑ l
<|NLD|>bovenkant	b oː v ə n k ɑ n t
<|NLD|>boventoon	b oː v ə n t oː n
<|NLD|>brandstof	b r ɑ n t s t ɔ f
<|NLD|>breed	b r eː t
<|NLD|>broeikaseffect	b r u i̯ k ɑ s ɛ f ɛ k t
<|NLD|>broncode	b r ɔ n k oː d ə
<|NLD|>bronkhorst	b r ɔ ŋ k ɦ ɔ r s t
<|NLD|>bruine	b r œ y̯ n ə
<|NLD|>btw	b eː t eː ʋ eː
<|NLD|>budgetteren	b ʏ d ʒ ɛ t eː r ə n
<|NLD|>buggy	b ʏ ɡ i
<|NLD|>buienradar	b œ y̯ ə n r aː d ɑ r
<|NLD|>buiging	b œ y̯ ɣ ɪ ŋ
<|NLD|>buitenaf	b œ y̯ t ə n ɑ f
<|NLD|>buitenspelval	b œ y̯ t ə n s p ɛ l v ɑ l
<|NLD|>buitentrouw	b œ y̯ t ə n t r ɑ u̯
<|NLD|>bukken	b ʏ k ə n
<|NLD|>burchtheer	b ʏ r x t ɦ eː r
<|NLD|>byzantijns	b i z ɑ n t ɛ i̯ n s
<|NLD|>cabine	k aː b i n ə
<|NLD|>calamiteit	k aː l aː m i t ɛ i̯ t
<|NLD|>californië	k aː l i f ɔ r n i ə
<|NLD|>capitool	k aː p i t oː l
<|NLD|>cataract	k aː t aː r ɑ k t
<|NLD|>cement	s ə m ɛ n t
<|NLD|>charmant	ʃ ɑ r m ɑ n t
<|NLD|>chef	ʃ ɛ f
<|NLD|>chemie	x eː m i
<|NLD|>chirurgie	ʃ i r ʏ r ɣ i
<|NLD|>cimbaal	s ɪ m b aː l
<|NLD|>clown	k l ɑ u̯ n
<|NLD|>coach	k oː t ʃ
<|NLD|>compensatie	k ɔ m p ɛ n z aː t s i
<|NLD|>completeren	k ɔ m p l eː t eː r ə n
<|NLD|>complexiteit	k ɔ m p l ɛ k s i t ɛ i̯ t
<|NLD|>componist	k ɔ m p oː n ɪ s t
<|NLD|>compositie	k ɔ m p oː z i t s i
<|NLD|>computerspel	k ɔ m p j u t ə r s p ɛ l
<|NLD|>concilie	k ɔ n s i l i
<|NLD|>concluderen	k ɔ ŋ k l y d eː r ə n
<|NLD|>condoleren	k ɔ n d oː l eː r ə n
<|NLD|>condoom	k ɔ n d oː m
<|NLD|>conservatisme	k ɔ n z ɛ r v aː t ɪ s m ə
<|NLD|>constant	k ɔ n s t ɑ n t
<|NLD|>contact	k ɔ n t ɑ k t
<|NLD|>convenant	k ɔ n v ə n ɑ n t
<|NLD|>coulisselandschap	k u l i z ə l ɑ n t s x ɑ p
<|NLD|>crèmekleurig	k r ɛː m k l øː r ə x
<|NLD|>curator	k y r aː t ɔ r
<|NLD|>cyprus	s i p r ʏ s
<|NLD|>daarin	d aː r ɪ n
<|NLD|>daarom	d aː r ɔ m
<|NLD|>daartegen	d aː r t eː ɣ ə n
<|NLD|>daartegenover	d aː r t eː ɣ ə n oː v ə r
<|NLD|>dakdekker	d ɑ k d ɛ k ə r
<|NLD|>danig	d aː n ə x
<|NLD|>dankjewel	d ɑ ŋ k j ə ʋ ɛ l
<|NLD|>dato	d aː t oː
<|NLD|>david	d aː v ɪ t
<|NLD|>ddr	d eː d eː ɛ r
<|NLD|>decaan	d eː k aː n
<|NLD|>decentralisering	d eː s ɛ n t r aː l i z eː r ɪ ŋ
<|NLD|>deelstaat	d eː l s t aː t
<|NLD|>dekmantel	d ɛ k m ɑ n t ə l
<|NLD|>delft	d ɛ l f t
<|NLD|>demonstreren	d eː m ɔ n s t r eː r ə n
<|NLD|>demper	d ɛ m p ə r
<|NLD|>deregulering	d eː r eː ɣ y l eː r ɪ ŋ
<|NLD|>dergelijk	d ɛ r ɣ ə l ə k
<|NLD|>desgewenst	d ɛ s x ə ʋ ɛ n s t
<|NLD|>deskundige	d ɛ s k ʏ n d ə ɣ ə
<|NLD|>detail	d eː t ɑ i̯
<|NLD|>dierenpark	d iː r ə n p ɑ r k
<|NLD|>diner	d i n eː
<|NLD|>diploma	d i p l oː m aː
<|NLD|>disco	d ɪ s k oː
<|NLD|>discriminatie	d ɪ s k r i m i n aː t s i
<|NLD|>discrimineren	d ɪ s k r i m i n eː r ə n
<|NLD|>do	d oː
<|NLD|>doctoraat	d ɔ k t oː r aː t
<|NLD|>doelpunt	d u l p ʏ n t
<|NLD|>domein	d oː m ɛ i̯ n
<|NLD|>donderdagochtend	d ɔ n d ə r d ɑ x ɔ x t ə n t
<|NLD|>donkerblauw	d ɔ ŋ k ə r b l ɑ u̯
<|NLD|>dooddoener	d oː t d u n ə r
<|NLD|>doorbrengen	d oː r b r ɛ ŋ ə n
<|NLD|>doordeweeks	d oː r d ə ʋ eː k s
<|NLD|>doorlopend	d oː r l oː p ə n t
<|NLD|>doorsnijden	d oː r s n ɛ i̯ d ə n
<|NLD|>doorstart	d oː r s t ɑ r t
<|NLD|>doppen	d ɔ p ə n
<|NLD|>dorpsplein	d ɔ r p s p l ɛ i̯ n
<|NLD|>dove	d oː v ə
<|NLD|>draf	d r ɑ f
<|NLD|>drama	d r aː m aː
<|NLD|>drang	d r ɑ ŋ
<|NLD|>driecilinder	d r i s i l ɪ n d ə r
<|NLD|>driejarig	d r i j aː r ə x
<|NLD|>drievoudig	d r i v ɑ u̯ d ə x
<|NLD|>drijfveer	d r ɛ i̯ f eː r
<|NLD|>drink	d r ɪ ŋ k
<|NLD|>droogte	d r oː x t ə
<|NLD|>drukker	d r ʏ k ə r
<|NLD|>drukte	d r ʏ k t ə
<|NLD|>duidelijk	d œ y̯ d ə l ə k
<|NLD|>duim	d œ y̯ m
<|NLD|>duivel	d œ y̯ v ə l
<|NLD|>duizelingwekkend	d œ y̯ z ə l ɪ ŋ ʋ ɛ k ə n t
<|NLD|>dwaas	d ʋ aː s
<|NLD|>dwarszitten	d ʋ ɑ r s ɪ t ə n
<|NLD|>dweilen	d ʋ ɛ i̯ l ə n
<|NLD|>dwingen	d ʋ ɪ ŋ ə n
<|NLD|>dyslexie	d ɪ s l ɛ k s i
<|NLD|>echter	ɛ x t ə r
<|NLD|>eden	eː d ə n
<|NLD|>eenzaam	eː n z aː m
<|NLD|>eerstejaars	eː r s t ə j aː r s
<|NLD|>eeuwigheid	eː u̯ ə x ɦ ɛ i̯ t
<|NLD|>effect	ɛ f ɛ k t
<|NLD|>eieren	ɛ i̯ j ə r ə n
<|NLD|>eigenwijs	ɛ i̯ ɣ ə n ʋ ɛ i̯ s
<|NLD|>einde	ɛ i̯ n d ə
<|NLD|>els	ɛ l s
<|NLD|>ene	eː n ə
<|NLD|>eredivisie	eː r ə d i v i s i
<|NLD|>erfzonde	ɛ r f s ɔ n d ə
<|NLD|>evenknie	eː v ə n k n i
<|NLD|>extract	ɛ k t r ɑ k t
<|NLD|>fabriceren	f ɑ b r i s eː r ə n
<|NLD|>factuur	f ɑ k t yː r
<|NLD|>feit	f ɛ i̯ t
<|NLD|>flevoland	f l eː v oː l ɑ n t
<|NLD|>fotografie	f oː t oː ɣ r aː f i
<|NLD|>fretten	f r ɛ t ə n
<|NLD|>fundering	f ʏ n d eː r ɪ ŋ
<|NLD|>föhn	f øː n
<|NLD|>gade	ɣ aː d ə
<|NLD|>game	ɡ eː m
<|NLD|>garde	ɣ ɑ r d ə
<|NLD|>gas	ɣ ɑ s
<|NLD|>gastvrij	ɣ ɑ s t f r ɛ i̯
<|NLD|>gastvrijheid	ɣ ɑ s t f r ɛ i̯ ɦ ɛ i̯ t
<|NLD|>gebouw	ɣ ə b ɑ u̯
<|NLD|>geheten	ɣ ə ɦ eː t ə n
<|NLD|>gek	ɣ ɛ k
<|NLD|>gelaat	ɣ ə l aː t
<|NLD|>geldbuidel	ɣ ɛ l t b œ y̯ d ə l
<|NLD|>geleen	ɣ ə l eː n
<|NLD|>gelijkstelling	ɣ ə l ɛ i̯ k s t ɛ l ɪ ŋ
<|NLD|>gelijktijdigheid	ɣ ə l ɛ i̯ k t ɛ i̯ d ə ɣ ɦ ɛ i̯ d
<|NLD|>geluid	ɣ ə l œ y̯ t
<|NLD|>geologie	ɣ eː oː l oː ɣ i
<|NLD|>geschenk	ɣ ə s x ɛ ŋ k
<|NLD|>geweld	ɣ ə ʋ ɛ l t
<|NLD|>gewoon	ɣ ə ʋ oː n
<|NLD|>gezagvoerder	ɣ ə z ɑ x f uː r d ə r
<|NLD|>giftig	ɣ ɪ f t ə x
<|NLD|>gillen	ɣ ɪ l ə n
<|NLD|>glastuinbouw	ɣ l ɑ s t œ y̯ n b ɑ u̯
<|NLD|>gloeilamp	ɣ l u i̯ l ɑ m p
<|NLD|>goede	ɣ u d ə
<|NLD|>goes	ɣ u s
<|NLD|>gordijn	ɣ ɔ r d ɛ i̯ n
<|NLD|>grapjas	ɣ r ɑ p j ɑ s
<|NLD|>grasduinen	ɣ r ɑ s d œ y̯ n ə n
<|NLD|>grassen	ɣ r ɑ s ə n
<|NLD|>guichelheil	ɣ œ y̯ x ə l ɦ ɛ i̯ l
<|NLD|>haan	ɦ aː n
<|NLD|>half	ɦ ɑ l f
<|NLD|>hamer	ɦ aː m ə r
<|NLD|>hanteerbaar	ɦ ɑ n t eː r b aː r
<|NLD|>heerlijk	ɦ eː r l ə k
<|NLD|>heiligen	ɦ ɛ i̯ l ə ɣ ə n
<|NLD|>hele	ɦ eː l ə
<|NLD|>hermans	ɦ ɛ r m ɑ n s
<|NLD|>hester	ɦ ɛ s t ə r
<|NLD|>hollen	ɦ ɔ l ə n
<|NLD|>homeopathisch	ɦ oː m eː oː p aː t i s
<|NLD|>honkbalknuppel	ɦ ɔ ŋ k b ɑ l k n ʏ p ə l
<|NLD|>hoofdredacteur	ɦ oː f t r eː d ɑ k t øː r
<|NLD|>horizon	ɦ oː r i z ɔ n
<|NLD|>houten	ɦ ɑ u̯ t ə n
<|NLD|>houtworm	ɦ ɑ u̯ t ʋ ɔ r m
<|NLD|>huilebalk	ɦ œ y̯ l ə b ɑ l k
<|NLD|>huis	ɦ œ y̯ s
<|NLD|>huishoudelijk	ɦ œ y̯ s ɦ ɑ u̯ d ə l ə k
<|NLD|>huisvesting	ɦ œ y̯ s f ɛ s t ɪ ŋ
<|NLD|>hup	ɦ ʏ p
<|NLD|>ijmuiden	ɛ i̯ m œ y̯ d ə n
<|NLD|>in	ɪ n
<|NLD|>indien	ɪ n d i n
<|NLD|>indonesisch	ɪ n d oː n eː z i s
<|NLD|>indonesië	ɪ n d oː n eː z i j ə
<|NLD|>inflatie	ɪ n f l aː t s i
<|NLD|>instituut	ɪ n s t i t y t
<|NLD|>instrumentarium	ɪ n s t r y m ɛ n t aː r i ʏ m
<|NLD|>interbellum	ɪ n t ə r b ɛ l ʏ m
<|NLD|>interland	ɪ n t ə r l ɑ n t
<|NLD|>introductie	ɪ n t r oː d ʏ k s i
<|NLD|>intuïtie	ɪ n t y i t s i
<|NLD|>inwerken	ɪ n ʋ ɛ r k ə n
<|NLD|>irakees	i r aː k eː s
<|NLD|>jaarabonnement	j aː r ɑ b ɔ n ə m ɛ n t
<|NLD|>jammer	j ɑ m ə r
<|NLD|>jarige	j aː r ə ɣ ə
<|NLD|>jong	j ɔ ŋ
<|NLD|>jongleren	j ɔ ŋ l eː r ə n
<|NLD|>juffrouw	j ʏ f r ɑ u̯
<|NLD|>ka	k aː
<|NLD|>kabel	k aː b ə l
<|NLD|>kaf	k ɑ f
<|NLD|>kalief	k aː l i f
<|NLD|>kalmte	k ɑ l m t ə
<|NLD|>kamp	k ɑ m p
<|NLD|>kankerhoer	k ɑ ŋ k ə r ɦ uː r
<|NLD|>kapster	k ɑ p s t ə r
<|NLD|>karavaan	k aː r aː v aː n
<|NLD|>karikatuur	k aː r i k aː t y r
<|NLD|>katje	k ɑ t j ə
<|NLD|>katwijk	k ɑ t ʋ ɛ i̯ k
<|NLD|>kazen	k aː z ə n
<|NLD|>keer	k eː r
<|NLD|>kempen	k ɛ m p ə n
<|NLD|>kentering	k ɛ n t ə r ɪ ŋ
<|NLD|>kerkhof	k ɛ r k ɦ ɔ f
<|NLD|>kerkrade	k ɛ r k r aː d ə
<|NLD|>kerstdag	k ɛ r s d ɑ x
<|NLD|>keuren	k øː r ə n
<|NLD|>kiespijn	k i s p ɛ i̯ n
<|NLD|>kin	k ɪ n
<|NLD|>klaslokaal	k l ɑ s l oː k aː l
<|NLD|>klauw	k l ɑ u̯
<|NLD|>kleed	k l eː t
<|NLD|>kleindochter	k l ɛ i̯ n d ɔ x t ə r
<|NLD|>kleinood	k l ɛ i̯ n oː t
<|NLD|>klit	k l ɪ t
<|NLD|>knokpartij	k n ɔ k p ɑ r t ɛ i̯
<|NLD|>koeien	k u i̯ ə n
<|NLD|>komplot	k ɔ m p l ɔ t
<|NLD|>komt	k ɔ m t
<|NLD|>koningin	k oː n ɪ ŋ ɪ n
<|NLD|>koninkrijk	k oː n ɪ ŋ k r ɛ i̯ k
<|NLD|>koolrabi	k oː l r aː b i
<|NLD|>koper	k oː p ə r
<|NLD|>koraal	k oː r aː l
<|NLD|>korea	k oː r eː aː
<|NLD|>krachtdadig	k r ɑ x t d aː d ə x
<|NLD|>krentenbol	k r ɛ n t ə n b ɔ l
<|NLD|>krijgsman	k r ɛ i̯ x s m ɑ n
<|NLD|>kringloopwinkel	k r ɪ ŋ l oː p ʋ ɪ ŋ k ə l
<|NLD|>krokusvakantie	k r oː k ʏ s f aː k ɑ n t s i
<|NLD|>krukas	k r ʏ k ɑ s
<|NLD|>kustplaats	k ʏ s t p l aː t s
<|NLD|>lappen	l ɑ p ə n
<|NLD|>lees	l eː s
<|NLD|>leesten	l eː s t ə n
<|NLD|>leesvoer	l eː s v uː r
<|NLD|>legerleiding	l eː ɣ ə r l ɛ i̯ d ɪ ŋ
<|NLD|>legt	l ɛ x t
<|NLD|>leiding	l ɛ i̯ d ɪ ŋ
<|NLD|>letten	l ɛ t ə n
<|NLD|>letterkundig	l ɛ t ə r k ʏ n d ə x
<|NLD|>leuk	l øː k
<|NLD|>lia	l i aː
<|NLD|>liep	l i p
<|NLD|>limbo	l ɪ m b oː
<|NLD|>lisse	l ɪ s ə
<|NLD|>listig	l ɪ s t ə x
<|NLD|>livestream	l ɑ i̯ v s t r iː m
<|NLD|>locomotief	l oː k oː m oː t i f
<|NLD|>logisch	l oː ɣ i s
<|NLD|>loket	l oː k ɛ t
<|NLD|>londen	l ɔ n d ə n
<|NLD|>loopjongen	l oː p j ɔ ŋ ə n
<|NLD|>lopen	l oː p ə n
<|NLD|>losser	l ɔ s ə r
<|NLD|>lotte	l ɔ t ə
<|NLD|>luchtweerstand	l ʏ x t ʋ eː r s t ɑ n t
<|NLD|>luier	l œ y̯ ə r
<|NLD|>luisterboek	l œ y̯ s t ə r b u k
<|NLD|>maagd	m aː x t
<|NLD|>maar	m aː r
<|NLD|>maat	m aː t
<|NLD|>macedonië	m ɑ s ə d oː n i j ə
<|NLD|>maf	m ɑ f
<|NLD|>mager	m aː ɣ ə r
<|NLD|>maria	m aː r i j aː
<|NLD|>markteconomie	m ɑ r k t eː k oː n oː m i
<|NLD|>marktplaats	m ɑ r k t p l aː t s
<|NLD|>marktwerking	m ɑ r k t ʋ ɛ r k ɪ ŋ
<|NLD|>martelen	m ɑ r t ə l ə n
<|NLD|>mavo	m aː v oː
<|NLD|>maya	m aː j aː
<|NLD|>medezeggenschap	m eː d ə z ɛ ɣ ə n s x ɑ p
<|NLD|>mediatheek	m eː d i aː t eː k
<|NLD|>meervoud	m eː r v ɑ u̯ t
<|NLD|>meijer	m ɛ i̯ ə r
<|NLD|>meisjes	m ɛ i̯ s j ə s
<|NLD|>melkweg	m ɛ l k ʋ ɛ x
<|NLD|>mening	m eː n ɪ ŋ
<|NLD|>mensen	m ɛ n s ə n
<|NLD|>mensenmassa	m ɛ n s ə n m ɑ s aː
<|NLD|>mensensmokkel	m ɛ n s ə n s m ɔ k ə l
<|NLD|>merel	m eː r ə l
<|NLD|>meter	m eː t ə r
<|NLD|>metro	m eː t r oː
<|NLD|>migraine	m i ɡ r ɛː n ə
<|NLD|>milieubelasting	m ɪ l j øː b ə l ɑ s t ɪ ŋ
<|NLD|>miljonair	m ɪ l j oː n ɛ r
<|NLD|>mislukken	m ɪ s l ʏ k ə n
<|NLD|>modder	m ɔ d ə r
<|NLD|>moeheid	m u ɦ ɛ i̯ t
<|NLD|>moeras	m u r ɑ s
<|NLD|>moeten	m u t ə n
<|NLD|>molenaar	m oː l ə n aː r
<|NLD|>mollen	m ɔ l ə n
<|NLD|>mondkap	m ɔ n t k ɑ p
<|NLD|>moreel	m oː r eː l
<|NLD|>muggenzifter	m ʏ ɣ ə n z ɪ f t ə r
<|NLD|>munten	m ʏ n t ə n
<|NLD|>mutant	m y t ɑ n t
<|NLD|>namaken	n aː m aː k ə n
<|NLD|>nasmaak	n aː s m aː k
<|NLD|>natiestaat	n aː t s i s t aː t
<|NLD|>natuursteen	n aː t yː r s t eː n
<|NLD|>nauwkeurig	n ɑ u̯ k øː r ə x
<|NLD|>navo	n aː v oː
<|NLD|>nederlands	n eː d ə r l ɑ n t s
<|NLD|>neptunus	n ɛ p t y n ʏ s
<|NLD|>netjes	n ɛ t j ə s
<|NLD|>neurochirurg	n øː r oː ʃ i r ʏ r x
<|NLD|>nijd	n ɛ i̯ t
<|NLD|>noemer	n u m ə r
<|NLD|>noodlottig	n oː t l ɔ t ə x
<|NLD|>novum	n oː v ʏ m
<|NLD|>oceaan	oː s eː j aː n
<|NLD|>oekaze	u k aː z ə
<|NLD|>oekraïne	u k r aː i n ə
<|NLD|>oeps	u p s
<|NLD|>ofschoon	ɔ f s x oː n
<|NLD|>ogen	oː ɣ ə n
<|NLD|>olietanker	oː l i t ɛ ŋ k ə r
<|NLD|>oliewinning	oː l i ʋ ɪ n ɪ ŋ
<|NLD|>olifantenpad	oː l i f ɑ n t ə n p ɑ t
<|NLD|>omarmen	ɔ m ɑ r m ə n
<|NLD|>ommetje	ɔ m ə t j ə
<|NLD|>onbenul	ɔ n b ə n ʏ l
<|NLD|>onbereikbaar	ɔ n b ə r ɛ i̯ k b aː r
<|NLD|>ondergeschikte	ɔ n d ə r ɣ ə s x ɪ k t ə
<|NLD|>onderwereld	ɔ n d ə r ʋ eː r ə l t
<|NLD|>ongeluk	ɔ ŋ ɣ ə l ʏ k
<|NLD|>onmogelijk	ɔ n m oː ɣ ə l ə k
<|NLD|>ontberingen	ɔ n t b eː r ɪ ŋ ə n
<|NLD|>ontnemen	ɔ n t n eː m ə n
<|NLD|>ontruimen	ɔ n t r œ y̯ m ə n
<|NLD|>ooit	oː i̯ t
<|NLD|>oorlog	oː r l ɔ x
<|NLD|>oosten	oː s t ə n
<|NLD|>oostzee	oː s t s eː
<|NLD|>opbouw	ɔ p b ɑ u̯
<|NLD|>opgeruimd	ɔ p x ə r œ y̯ m t
<|NLD|>opgeven	ɔ p x eː v ə n
<|NLD|>opkomen	ɔ p k oː m ə n
<|NLD|>oppositie	ɔ p oː z i t s i
<|NLD|>optimaal	ɔ p t i m aː l
<|NLD|>opvijzelen	ɔ p f ɛ i̯ z ɛ l ɛ n
<|NLD|>opzetten	ɔ p z ɛ t ə n
<|NLD|>ouwe	ɑ u̯ ə
<|NLD|>overlast	oː v ə r l ɑ s t
<|NLD|>overlaten	oː v ə r l aː t ə n
<|NLD|>overname	oː v ə r n aː m ə
<|NLD|>overplaatsen	oː v ə r p l aː t s ə n
<|NLD|>overzetten	oː v ə r z ɛ t ə n
<|NLD|>overzicht	oː v ə r z ɪ x t
<|NLD|>oxaalzuur	ɔ k s aː l z yː r
<|NLD|>pak	p ɑ k
<|NLD|>paniekvoetbal	p aː n i k f u t b ɑ l
<|NLD|>papierwerk	p aː p iː r ʋ ɛ r k
<|NLD|>parelmoer	p aː r ə l m uː r
<|NLD|>park	p ɑ r k
<|NLD|>parkeerplaats	p ɑ r k eː r p l aː t s
<|NLD|>parking	p ɑ r k ɪ ŋ
<|NLD|>pasgeboren	p ɑ s x ə b oː r ə n
<|NLD|>pech	p ɛ x
<|NLD|>perceel	p ɛ r s eː l
<|NLD|>persen	p ɛ r s ə n
<|NLD|>pijpleiding	p ɛ i̯ p l ɛ i̯ d ɪ ŋ
<|NLD|>pikdonker	p ɪ k d ɔ ŋ k ə r
<|NLD|>pillewegge	p ɪ l ə ʋ ɛ ɣ ə
<|NLD|>pindakaas	p ɪ n d aː k aː s
<|NLD|>pissebed	p ɪ s ə b ɛ t
<|NLD|>plaat	p l aː t
<|NLD|>plaats	p l aː t s
<|NLD|>plan	p l ɑ n
<|NLD|>plasma	p l ɑ s m aː
<|NLD|>plastiek	p l ɑ s t i k
<|NLD|>ploert	p l uː r t
<|NLD|>politiek	p oː l i t i k
<|NLD|>pompen	p ɔ m p ə n
<|NLD|>postbode	p ɔ s t b oː d ə
<|NLD|>postbus	p ɔ s t b ʏ s
<|NLD|>pot	p ɔ t
<|NLD|>printen	p r ɪ n t ə n
<|NLD|>proost	p r oː s t
<|NLD|>prostituee	p r ɔ s t i t y eː
<|NLD|>prothese	p r oː t eː z ə
<|NLD|>provinciën	p r oː v ɪ n s i ə n
<|NLD|>publiek	p y b l i k
<|NLD|>puin	p œ y̯ n
<|NLD|>quarantaine	k aː r ɑ n t ɛː n ə
<|NLD|>raadplegen	r aː t p l eː ɣ ə n
<|NLD|>raadslid	r aː t s l ɪ t
<|NLD|>raam	r aː m
<|NLD|>rare	r aː r ə
<|NLD|>ravage	r aː v aː ʒ ə
<|NLD|>recepten	r ə s ɛ p t ə n
<|NLD|>reken	r eː k ə n
<|NLD|>rellen	r ɛ l ə n
<|NLD|>remmen	r ɛ m ə n
<|NLD|>renswoude	r ɛ n s ʋ ɑ u̯ d ə
<|NLD|>rijdt	r ɛ i̯ t
<|NLD|>rijswijk	r ɛ i̯ s ʋ ɛ i̯ k
<|NLD|>rijweg	r ɛ i̯ ʋ ɛ x
<|NLD|>ring	r ɪ ŋ
<|NLD|>rit	r ɪ t
<|NLD|>rits	r ɪ t s
<|NLD|>roeien	r u i̯ ə n
<|NLD|>roeren	r u r ə n
<|NLD|>rol	r ɔ l
<|NLD|>roof	r oː f
<|NLD|>rook	r oː k
<|NLD|>ruim	r œ y̯ m
<|NLD|>ruimtekromme	r œ y̯ m t ə k r ɔ m ə
<|NLD|>ruimteveer	r œ y̯ m t ə v eː r
<|NLD|>rust	r ʏ s t
<|NLD|>ruth	r ʏ t
<|NLD|>ruïneren	r y i n eː r ə n
<|NLD|>salomonseilanden	s aː l oː m ɔ n s ɛ i̯ l ɑ n d ə n
<|NLD|>samenstelling	s aː m ə n s t ɛ l ɪ ŋ
<|NLD|>sarah	s aː r aː
<|NLD|>sassenheim	s ɑ s ə n ɦ ɛ i̯ m
<|NLD|>schaal	s x aː l
<|NLD|>schaker	s x aː k ə r
<|NLD|>schapenvlees	s x aː p ə n v l eː s
<|NLD|>schelpenpad	s x ɛ l p ə n p ɑ t
<|NLD|>schenking	s x ɛ ŋ k ɪ ŋ
<|NLD|>scherp	s x ɛ r p
<|NLD|>scherpen	s x ɛ r p ə n
<|NLD|>schilderkunst	s x ɪ l d ə r k ʏ n s t
<|NLD|>schizofrenie	s x i t s oː f r eː n i
<|NLD|>schoeien	s x u i̯ ə n
<|NLD|>schokland	s x ɔ k l ɑ n t
<|NLD|>schreef	s x r eː f
<|NLD|>schuiven	s x œ y̯ v ə n
<|NLD|>schuldig	s x ʏ l d ə x
<|NLD|>schutting	s x ʏ t ɪ ŋ
<|NLD|>script	s k r ɪ p t
<|NLD|>seconde	s ɛ k ɔ n d ə
<|NLD|>sedert	s eː d ə r t
<|NLD|>sein	s ɛ i̯ n
<|NLD|>serre	s ɛː r ə
<|NLD|>sier	s i r
<|NLD|>simultaan	s i m ʏ l t aː n
<|NLD|>sjiitisch	ʃ i i t i s
<|NLD|>slachting	s l ɑ x t ɪ ŋ
<|NLD|>slagen	s l aː ɣ ə n
<|NLD|>sleutelrol	s l øː t ə l r ɔ l
<|NLD|>slib	s l ɪ p
<|NLD|>sloeber	s l u b ə r
<|NLD|>sluiten	s l œ y̯ t ə n
<|NLD|>snede	s n eː d ə
<|NLD|>spanjaard	s p ɑ n j aː r t
<|NLD|>spook	s p oː k
<|NLD|>sporthal	s p ɔ r t ɦ ɑ l
<|NLD|>spreekt	s p r eː k t
<|NLD|>springt	s p r ɪ ŋ t
<|NLD|>spuiten	s p œ y̯ t ə n
<|NLD|>staart	s t aː r t
<|NLD|>staat	s t aː t
<|NLD|>stabiel	s t aː b i l
<|NLD|>stagiair	s t aː ʒ ɛː r
<|NLD|>steel	s t eː l
<|NLD|>steen	s t eː n
<|NLD|>stekel	s t eː k ə l
<|NLD|>stekelhuidige	s t eː k ə l ɦ œ y̯ d ə ɣ ə
<|NLD|>step	s t ɛ p
<|NLD|>stiekem	s t i k ə m
<|NLD|>stom	s t ɔ m
<|NLD|>stomp	s t ɔ m p
<|NLD|>stond	s t ɔ n t
<|NLD|>stoppen	s t ɔ p ə n
<|NLD|>strafstudie	s t r ɑ f s t y d i
<|NLD|>stroop	s t r oː p
<|NLD|>stropen	s t r oː p ə n
<|NLD|>structuur	s t r ʏ k t y r
<|NLD|>struikelen	s t r œ y̯ k ə l ə n
<|NLD|>studie	s t y d i
<|NLD|>stuk	s t ʏ k
<|NLD|>suppletie	s ʏ p l eː t s i
<|NLD|>synagoge	s i n aː ɣ oː ɣ ə
