<|IND|>gen	ɡ ɛ n
<|TGL|>iha	ʔ i h a
<|TGL|>maawain	m a ʔ a w a ʔ i n
<|TGL|>kepo	k e p o
<|TGL|>magulat	m a ɡ u l a t
<|TGL|>senador	s e n a d o ɾ
<|TGL|>tipuno	t i p u n o ʔ
<|TGL|>hibang	h i b a ŋ
<|TGL|>soltada	s o l t a d a
<|TGL|>detalye	d e t a l j e
<|TGL|>lityo	l i t j o
<|TGL|>elektrisista	ʔ e l e k t ɾ i s i s t a
<|TGL|>balda	b a l d a
<|TGL|>palaso	p a l a s o ʔ
<|TGL|>lansang	l a n s a ŋ
<|TGL|>balse	b a l s e
<|TGL|>salik	s a l i k
<|TGL|>Triviño	t ɾ i v i ɲ o
<|TGL|>kalima	k a l i m a
<|TGL|>binhi	b i n h i ʔ
<|TGL|>tilasitha	t i l a s i t h a ʔ
<|TGL|>gawan	ɡ a w a n
<|TGL|>matiyaga	m a t j a ɡ a ʔ
<|TGL|>biskonde	b i s k o n d e
<|TGL|>ikalat	ʔ i k a l a t
<|TGL|>tabak	t a b a k
<|TGL|>usod	ʔ u s o d
<|TGL|>sanaysay	s a n a j s a j
<|TGL|>numipis	n u m i p i s
<|TGL|>salmo	s a l m o
<|TGL|>keri	k e ɾ i
<|TGL|>yumahod	j u m a h o d
<|TGL|>peyneta	p e j n e t a
<|TGL|>bumatak	b u m a t a k
<|TGL|>matimbang	m a t i m b a ŋ
<|TGL|>ambisyon	ʔ a m b i s j o n
<|TGL|>seleksiyon	s e l e k s i o n
<|TGL|>purgatoryo	p u ɾ ɡ a t o ɾ j o
<|TGL|>Marinduque	m a ɾ i n d u k e
<|TGL|>amaranto	ʔ a m a ɾ a n t o
<|TGL|>paligsa	p a l i ɡ s a
<|TGL|>initsupil	ˌʔ i n i t s u p i l
<|TGL|>hatiin	h a t i ʔ i n
<|TGL|>hati	h a t i ʔ
<|TGL|>Remulla	ɾ e m u l j a
<|TGL|>Islam	ʔ i s l a m
<|TGL|>sibsib	s i b s i b
<|TGL|>saysay	s a j s a j
<|TGL|>madamo	m a d a m o
<|TGL|>obaryo	ʔ o b a ɾ j o
<|TGL|>tsitsaron	t͡ʃ i t͡ʃ a ɾ o n
<|TGL|>alkatsopas	ʔ a l k a t͡ʃ o p a s
<|TGL|>maningil	m a n i ŋ i l
<|TGL|>kumbinsido	k u m b i n s i d o
<|TGL|>pangkagawaran	p a ŋ k a ɡ a w a ɾ a n
<|TGL|>gahasa	ɡ a h a s a ʔ
<|TGL|>nabubuwisit	n a b u b u i s i t
<|TGL|>mabibigat	m a b i b i ɡ a t
<|TGL|>yangyang	j a ŋ j a ŋ
<|TGL|>kalangay	k a l a ŋ a j
<|TGL|>Abelgas	ʔ a b e l ɡ a s
<|TGL|>ipagmayabang	ʔ i p a ɡ m a j a b a ŋ
<|TGL|>Pinas	p i n a s
<|TGL|>limusina	l i m u s i n a
<|TGL|>peg	p e ɡ
<|TGL|>sais	s a ʔ i s
<|TGL|>riyesgo	ɾ i e s ɡ o
<|TGL|>laro	l a ɾ o ʔ
<|TGL|>sagwan	s a ɡ w a n
<|TGL|>Barayuga	b a ɾ a j u ɡ a
<|TGL|>Kho	k o
<|TGL|>hardin	h a ɾ d i n
<|TGL|>batia	b a t i a ʔ
<|TGL|>maghalili	m a ɡ h a l i l i
<|TGL|>gobernador	ɡ o b e ɾ n a d o ɾ
<|TGL|>lupig	l u p i ɡ
<|TGL|>birtud	b i ɾ t u d
<|TGL|>tulad	t u l a d
<|TGL|>manahimik	m a n a h i m i k
<|TGL|>sinigurado	s i n i ɡ u ɾ a d o
<|TGL|>bahagi	b a h a ɡ i ʔ
<|TGL|>yano	j a n o
<|TGL|>tambuli	t a m b u l i ʔ
<|TGL|>lingkod	l i ŋ k o d
<|TGL|>tahure	t a h u ɾ e
<|TGL|>kondo	k o n d o
<|TGL|>Valmores	v a l m o ɾ e s
<|TGL|>ginto	ɡ i n t o ʔ
<|TGL|>haligutgot	h a l i ɡ u t ɡ o t
<|TGL|>estandarte	ʔ e s t a n d a ɾ t e
<|TGL|>dagasdas	d a ɡ a s d a s
<|TGL|>Jasmine	d͡ʒ a s m i n
<|TGL|>kadiri	k a d i ɾ i
<|TGL|>miklawas	m i k l a w a s
<|TGL|>bisikleta	b i s i k l e t a
<|TGL|>kategorikal	k a t e ɡ o ɾ i k a l
<|TGL|>diskuwento	d i s k u e n t o
<|TGL|>sutla	s u t l a ʔ
<|TGL|>maako	m a ʔ a k o
<|TGL|>atim	ʔ a t i m
<|TGL|>dukwangin	d u k w a ŋ i n
<|TGL|>panlikod	p a n l i k o d
<|TGL|>asam	ʔ a s a m
<|TGL|>halihaw	h a l i h a w
<|TGL|>Moymoy	m o j m o j
<|TGL|>kumporme	k u m p o ɾ m e
<|TGL|>dalubhayupan	d a ˌl u b h a j u p a n
<|TGL|>wiski	w i s k i
<|TGL|>tumangkad	t u m a ŋ k a d
<|TGL|>radikal	ɾ a d i k a l
<|TGL|>mahistrado	m a h i s t ɾ a d o
<|TGL|>Biyer.	b i e ɾ
<|TGL|>malapot	m a l a p o t
<|TGL|>asno	ʔ a s n o
<|TGL|>repleksiyon	ɾ e p l e k s i o n
<|TGL|>dagusdos	d a ɡ u s d o s
<|TGL|>salwak	s a l w a k
<|TGL|>kabisera	k a b i s e ɾ a
<|TGL|>paninindigan	p a n i n i n d i ɡ a n
<|TGL|>sinehan	s i n e h a n
<|TGL|>Lumad	l u m a d
<|TGL|>bagol	b a ɡ o l
<|TGL|>kwenta	k w e n t a
<|TGL|>be	b e
<|TGL|>hagkan	h a ɡ k a n
<|TGL|>maimbot	m a ʔ i m b o t
<|TGL|>manukan	m a n u k a n
<|TGL|>Kamaynilaan	k a m a j n i l a ʔ a n
<|TGL|>Natanauan	n a t a n a w a n
<|TGL|>kubo	k u b o
<|TGL|>Sabado	s a b a d o
<|TGL|>konyak	k o n j a k
<|TGL|>reportahe	ɾ e p o ɾ t a h e
<|TGL|>Soon	s u n
<|TGL|>pusakal	p u s a k a l
<|TGL|>ukab	ʔ u k a b
<|TGL|>Inocencio	ʔ i n o s e n s j o
<|TGL|>bitak	b i t a k
<|TGL|>kauntian	k a ʔ u n t i ʔ a n
<|TGL|>rotasyon	ɾ o t a s j o n
<|TGL|>malindol	m a l i n d o l
<|TGL|>madiwa	m a d i w a ʔ
<|TGL|>higante	h i ɡ a n t e
<|TGL|>mayayabang	m a j a j a b a ŋ
<|TGL|>Aleman	ʔ a l e m a n
<|TGL|>Hamayka	h a m a j k a
<|TGL|>rambol	ɾ a m b o l
<|TGL|>galagala	ɡ a l a ɡ a l a
<|TGL|>maggantsilyo	m a ɡ ɡ a n t͡ʃ i l j o
<|TGL|>Villablanca	v i l j a b l a n k a
<|TGL|>ko	k o
<|TGL|>haya	h a j a ʔ
<|TGL|>takuri	t a k u ɾ i ʔ
<|TGL|>awtorisasyon	ʔ a w t o ɾ i s a s j o n
<|TGL|>nanghawa	n a ŋ h a w a
<|TGL|>bulyaw	b u l j a w
<|TGL|>Cortez	k o ɾ t e s
<|TGL|>lilok	l i l o k
<|TGL|>hingalo	h i ŋ a l o ʔ
<|TGL|>radikalismo	ɾ a d i k a l i s m o
<|TGL|>labandero	l a b a n d e ɾ o
<|TGL|>Caparas	k a p a ɾ a s
<|TGL|>kodigo	k o d i ɡ o
<|TGL|>magpaalam	m a ɡ p a ʔ a l a m
<|TGL|>ayungin	ʔ a j u ŋ i n
<|TGL|>tributaryo	t ɾ i b u t a ɾ j o
<|TGL|>piyudalismo	p i u d a l i s m o
<|TGL|>siyokoy	s i o k o j
<|TGL|>korea	k o ɾ e a
<|TGL|>magtipid	m a ɡ t i p i d
<|TGL|>Pilipinismo	p i l i p i n i s m o
<|TGL|>daos	d a ʔ o s
<|TGL|>garbo	ɡ a ɾ b o
<|TGL|>maleta	m a l e t a
<|TGL|>talentado	t a l e n t a d o
<|TGL|>Karunungan	k a ɾ u n u ŋ a n
<|TGL|>Ortea	ʔ o ɾ t e a
<|TGL|>Roxas	ɾ o h a s
<|TGL|>balbakwa	b a l b a k w a
<|TGL|>determinismo	d e t e ɾ m i n i s m o
<|TGL|>Batangueña	b a t a ŋ ɡ e n j a
<|TGL|>kabulagsakan	k a b u l a ɡ s a k a n
<|TGL|>Encarnacion	ʔ e n k a ɾ n a s j o n
<|TGL|>panahinga	p a n a h i ŋ a
<|TGL|>magsimba	m a ɡ s i m b a
<|TGL|>kaligkig	k a l i ɡ k i ɡ
<|TGL|>chaka	t͡ʃ a k a ʔ
<|TGL|>lang	l a ŋ
<|TGL|>dantaon	d a n t a ʔ o n
<|TGL|>akompanya	ʔ a k o m p a n j a
<|TGL|>destabilisasyon	d e s t a b i l i s a s j o n
<|TGL|>Alolod	ʔ a l o l o d
<|TGL|>anis	ʔ a n i s
<|TGL|>anino	ʔ a n i n o
<|TGL|>warlahin	w a ɾ l a h i n
<|TGL|>kilos	k i l o s
<|TGL|>pasasalamat	p a s a s a l a m a t
<|TGL|>tagatuos	t a ɡ a t u ʔ o s
<|TGL|>dedikasyon	d e d i k a s j o n
<|TGL|>Sergio	s e ɾ h i o
<|TGL|>gariya	ɡ a ɾ i a ʔ
<|TGL|>baklad	b a k l a d
<|TGL|>lohiko	l o h i k o
<|TGL|>lasinggera	l a s i ŋ ɡ e ɾ a
<|TGL|>agnostiko	ʔ a ɡ n o s t i k o
<|TGL|>koteho	k o t e h o
<|TGL|>suplada	s u p l a d a
<|TGL|>balino	b a l i n o
<|TGL|>walwal	w a l w a l
<|TGL|>lawulta	l a w u l t a
<|TGL|>dara	d a ɾ a
<|TGL|>pinabulaanan	p i n a b u l a ʔ a n a n
<|TGL|>Lanao	l a n a w
<|TGL|>alipunga	ʔ a l i p u ŋ a
<|TGL|>omsim	ʔ o m s i m
<|TGL|>Mabulo	m a b u l o
<|TGL|>kupo	k u p o ʔ
<|TGL|>Tupa	t u p a
<|TGL|>katotohanan	k a t o t o h a n a n
<|TGL|>tikang	t i k a ŋ
<|TGL|>kromosoma	k ɾ o m o s o m a
<|TGL|>Elorde	ʔ e l o ɾ d e
<|TGL|>binatilyo	b i n a t i l j o
<|TGL|>estranghero	ʔ e s t ɾ a ŋ h e ɾ o
<|TGL|>tiyobibo	t i o b i b o
<|TGL|>palabasa	p a l a b a s a
<|TGL|>magmukmok	m a ɡ m u k m o k
<|TGL|>guham	ɡ u h a m
<|TGL|>sambalilo	s a m b a l i l o
<|TGL|>matipuno	m a t i p u n o ʔ
<|TGL|>santan	s a n t a n
<|TGL|>sundin	s u n d i n
<|TGL|>Montañez	m o n t a ɲ e s
<|TGL|>taltak	t a l t a k
<|TGL|>maambunan	m a ʔ a m b u n a n
<|TGL|>blangko	b l a ŋ k o
<|TGL|>Manalang	m a n a l a ŋ
<|TGL|>maglaway	m a ɡ l a w a j
<|TGL|>April	ʔ e j p ɾ i l
<|TGL|>kongkreto	k o ŋ k ɾ e t o
<|TGL|>tulod	t u l o d
<|TGL|>anib	ʔ a n i b
<|TGL|>bangketa	b a ŋ k e t a
<|TGL|>Cabungcal	k a b u ŋ k a l
<|TGL|>adelanto	ʔ a d e l a n t o
<|TGL|>Decena	d e s e n a
<|TGL|>Korean	k o ɾ i a n
<|TGL|>umaakyat	ʔ u m a ʔ a k j a t
<|TGL|>lumutang	l u m u t a ŋ
<|TGL|>Miraflores	m i ɾ a f l o ɾ e s
<|TGL|>Samar	s a m a ɾ
<|TGL|>magbanda	m a ɡ b a n d a
<|TGL|>Vizconde	v i s k o n d e
<|TGL|>abandonado	ʔ a b a n d o n a d o
<|TGL|>baway	b a w a j
<|TGL|>ingklitik	ʔ i ŋ k l i t i k
<|TGL|>kumbensiyon	k u m b e n s i o n
<|TGL|>talikakas	t a l i k a k a s
<|TGL|>Escuadro	ʔ e s k u a d ɾ o
<|TGL|>ratratin	ɾ a t ɾ a t i n
<|TGL|>David	d e j v i d
<|TGL|>himagas	h i m a ɡ a s
<|TGL|>opsiyon	ʔ o p s i o n
<|TGL|>Medrano	m e d ɾ a n o
<|TGL|>semento	s e m e n t o
<|TGL|>sagubang	s a ɡ u b a ŋ
<|TGL|>sakto	s a k t o
<|TGL|>aroma	ʔ a ɾ o m a
<|TGL|>manghihipo	m a ŋ h i h i p o ʔ
<|TGL|>Nebraska	n e b ɾ a s k a
<|TGL|>gamol	ɡ a m o l
<|TGL|>Gascon	ɡ a s k o n
<|TGL|>katay	k a t a j
<|TGL|>tinedyer	t i n e d j e ɾ
<|TGL|>tulag	t u l a ɡ
<|TGL|>bandehado	b a n d e h a d o
<|TGL|>haj	h a d͡ʒ
<|TGL|>laguyo	l a ɡ u j o ʔ
<|TGL|>Candelaria	k a n d e l a ɾ j a
<|TGL|>ene	ʔ e n e
<|TGL|>badap	b a d a p
<|TGL|>ornitolohiya	ʔ o ɾ n i t o l o h i a
<|TGL|>silidkulay	s i ˌl i d k u l a j
<|TGL|>malambot	m a l a m b o t
<|TGL|>melodiya	m e l o d i a
<|TGL|>bako	b a k o ʔ
<|TGL|>abnormalidad	ʔ a b n o ɾ m a l i d a d
<|TGL|>alat	ʔ a l a t
<|TGL|>Eden	ʔ e d e n
<|TGL|>abain	ʔ a b a ʔ i n
<|TGL|>soberaniya	s o b e ɾ a n i a
<|TGL|>magigi	m a ɡ i ɡ i ʔ
<|TGL|>Rosete	ɾ o s e t e
<|TGL|>kabalyo	k a b a l j o
<|TGL|>pagsasaka	p a ɡ s a s a k a
<|TGL|>sikreto	s i k ɾ e t o
<|TGL|>katol	k a t o l
<|TGL|>mahumaling	m a h u m a l i ŋ
<|TGL|>Budista	b u d i s t a
<|TGL|>kusinero	k u s i n e ɾ o
<|TGL|>halabos	h a l a b o s
<|TGL|>maglustay	m a ɡ l u s t a j
<|TGL|>maburol	ˌm a b u ɾ o l
<|TGL|>lumamig	l u m a m i ɡ
<|TGL|>astinggal	ʔ a s t i ŋ ɡ a l
<|TGL|>timbulog	t i m b u l o ɡ
<|TGL|>tilandoy	t i l a n d o j
<|TGL|>luwag	l u a ɡ
<|TGL|>umisod	ʔ u m i s o d
<|TGL|>ermat	ʔ e ɾ m a t
<|TGL|>kabaktan	k a b a k t a n
<|TGL|>Abad	ʔ a b a d
<|TGL|>hunyango	h u n j a ŋ o ʔ
<|TGL|>bisyon	b i s j o n
<|TGL|>kali	k a l i
<|TGL|>duwende	d u e n d e
<|TGL|>buwitre	b u i t ɾ e
<|TGL|>tanawan	t a n a w a n
<|TGL|>importante	ʔ i m p o ɾ t a n t e
<|TGL|>alguwasil	ʔ a l ɡ u a s i l
<|TGL|>paminta	p a m i n t a
<|TGL|>palitada	p a l i t a d a
<|TGL|>uom	ʔ u ʔ o m
<|TGL|>mabunutan	m a b u n u t a n
<|TGL|>Kuniko	k u n i k o
<|TGL|>Marife	m a ɾ i f e
<|TGL|>repriherador	ɾ e p ɾ i h e ɾ a d o ɾ
<|TGL|>sinsay	s i n s a j
<|TGL|>tsibog	t͡ʃ i b o ɡ
<|TGL|>dalubsining	d a l u b s i n i ŋ
<|TGL|>lako	l a k o ʔ
<|TGL|>Suansing	s u a n s i ŋ
<|TGL|>lingming	l i ŋ m i ŋ
<|TGL|>Castañeda	k a s t a ɲ e d a
<|TGL|>soli	s o l i ʔ
<|TGL|>Maniquiz	m a n i k i s
<|TGL|>mawasak	m a w a s a k
<|TGL|>Epipanya	ʔ e p i p a n j a
<|TGL|>matraka	m a t ɾ a k a
<|TGL|>proyekto	p ɾ o j e k t o
<|TGL|>tuldik	t u l d i k
<|TGL|>pasipismo	p a s i p i s m o
<|TGL|>suminga	s u m i ŋ a
<|TGL|>babaero	b a b a ʔ e ɾ o
<|TGL|>amin	ʔ a m i n
<|TGL|>kanino	k a n i n o
<|TGL|>laspag	l a s p a ɡ
<|TGL|>bagsakan	b a ɡ s a k a n
<|TGL|>tolerante	t o l e ɾ a n t e
<|TGL|>reto	ɾ e t o
<|TGL|>Dulay	d u l a j
<|TGL|>tanggap	t a ŋ ɡ a p
<|TGL|>Sesus	s e s u s
<|TGL|>humigit	h u m i ɡ i t
<|TGL|>Acuña	ʔ a k u ɲ a
<|TGL|>Alcaide	ʔ a l k a j d e
<|TGL|>Camantigue	k a m a n t i ɡ e
<|TGL|>mangomisyon	m a ŋ o m i s j o n
<|TGL|>kartamoneda	k a ɾ t a m o n e d a
<|TGL|>takong	t a k o ŋ
<|TGL|>ka	k a
<|TGL|>butanding	b u t a n d i ŋ
<|TGL|>sumbong	s u m b o ŋ
<|TGL|>diyesmo	d i e s m o
<|TGL|>sanib	s a n i b
<|TGL|>hupot	h u p o t
<|TGL|>sanggumay	s a ŋ ɡ u m a j
<|TGL|>itapat	ʔ i t a p a t
<|TGL|>tabon	t a b o n
<|TGL|>maghasik	m a ɡ h a s i k
<|TGL|>balana	b a l a n a
<|TGL|>yagong	j a ɡ o ŋ
<|TGL|>tambolero	t a m b o l e ɾ o
<|TGL|>direktora	d i ɾ e k t o ɾ a
<|TGL|>pulpol	p u l p o l
<|TGL|>ostrasismo	ʔ o s t ɾ a s i s m o
<|TGL|>maagap	m a ʔ a ɡ a p
<|TGL|>balakyot	b a l a k j o t
<|TGL|>sumite	s u m i t e
<|TGL|>dekwatin	d e k w a t i n
<|TGL|>Ayako	ʔ a j a k o
<|TGL|>Samonte	s a m o n t e
<|TGL|>gulat	ɡ u l a t
<|TGL|>Garces	ɡ a ɾ s e s
<|TGL|>tunggali	t u ŋ ɡ a l i ʔ
<|TGL|>oranggutan	ʔ o ɾ a ŋ ɡ u t a n
<|TGL|>pantalon	p a n t a l o n
<|TGL|>paskuwa	p a s k u a
<|TGL|>aaaban	ʔ a ʔ a ʔ a b a n
<|TGL|>aduwana	ʔ a d u a n a
<|TGL|>sundan	s u n d a n
<|TGL|>mangmang	m a ŋ m a ŋ
<|TGL|>minsanan	m i n s a n a n
<|TGL|>Yoshiko	j o ʃ i k o
<|TGL|>pamilyaridad	p a m i l j a ɾ i d a d
<|TGL|>lakwatsera	l a k w a t͡ʃ e ɾ a
<|TGL|>pagkasuplada	p a ɡ k a s u p l a d a
<|TGL|>pasa	p a s a
<|TGL|>empleyada	ʔ e m p l e a d a
<|TGL|>patola	p a t o l a
<|TGL|>bunggo	b u ŋ ɡ o ʔ
<|TGL|>kalyo	k a l j o
<|TGL|>nipis	n i p i s
<|TGL|>nagagandahan	n a ɡ a ɡ a n d a h a n
<|TGL|>Bolbok	b o l b o k
<|TGL|>oktaba	ʔ o k t a b a
<|TGL|>Ormoc	ʔ o ɾ m o k
<|TGL|>Bogota	b o ɡ o t a
<|TGL|>galang	ɡ a l a ŋ
<|TGL|>lunaw	l u n a w
<|TGL|>makatarungan	m a k a t a ɾ u ŋ a n
<|TGL|>Mandaluyong	m a n d a l u j o ŋ
<|TGL|>probinsiyana	p ɾ o b i n s i a n a
<|TGL|>ngani	ŋ a n i ʔ
<|TGL|>Esperanto	ʔ e s p e ɾ a n t o
<|TGL|>deskumpiyado	d e s k u m p i a d o
<|TGL|>saing	s a ʔ i ŋ
<|TGL|>maghimagsik	m a ɡ h i m a ɡ s i k
<|TGL|>walumpu	w a l u m p u ʔ
<|TGL|>teleolohiya	t e l e o l o h i a
<|TGL|>tsarter	t͡ʃ a ɾ t e ɾ
<|TGL|>mangjumbag	m a ŋ d͡ʒ u m b a ɡ
<|TGL|>pamahalaan	ˌp a m a h a l a ʔ a n
<|TGL|>kuripot	k u ɾ i p o t
<|TGL|>payak	p a j a k
<|TGL|>matinis	m a t i n i s
<|TGL|>palasyo	p a l a s j o
<|TGL|>pasiglahin	p a s i ɡ l a h i n
<|TGL|>agam	ʔ a ɡ a m
<|TGL|>baranggay	b a ɾ a ŋ ɡ a j
<|TGL|>eskarlata	ʔ e s k a ɾ l a t a
<|TGL|>bulyos	b u l j o s
<|TGL|>Barangka	b a ɾ a ŋ k a ʔ
<|TGL|>apdo	ʔ a p d o
<|TGL|>kontento	k o n t e n t o
<|TGL|>mabunganga	m a b u ŋ a ŋ a ʔ
<|TGL|>Corpus	k o ɾ p u s
<|TGL|>pangyari	p a ŋ j a ɾ i
<|TGL|>waley	w a l e j
<|TGL|>durog	d u ɾ o ɡ
<|TGL|>gahol	ɡ a h o l
<|TGL|>dipterya	d i p t e ɾ j a
<|TGL|>kahoy	k a h o j
<|TGL|>Dagupan	d a ɡ u p a n
<|TGL|>Pesigan	p e s i ɡ a n
<|TGL|>asul	ʔ a s u l
<|TGL|>alibutran	ʔ a l i b u t ɾ a n
<|TGL|>hain	h a ʔ i n
<|TGL|>gagi	ɡ a ɡ i ʔ
<|TGL|>seminaryo	s e m i n a ɾ j o
<|TGL|>garya	ɡ a ɾ j a ʔ
<|TGL|>ganda	ɡ a n d a
<|TGL|>singsing	s i ŋ s i ŋ
<|TGL|>bilao	b i l a ʔ o
<|TGL|>disposisyon	d i s p o s i s j o n
<|TGL|>kalihim	k a l i h i m
<|TGL|>lingguhan	l i ŋ ɡ u h a n
<|TGL|>also	ʔ a l s o
<|TGL|>helikopter	h e l i k o p t e ɾ
<|TGL|>pagkabuhay	p a ɡ k a b u h a j
<|TGL|>sukdulan	s u k d u l a n
<|TGL|>Biring	b i ɾ i ŋ
<|TGL|>Siam	s i a m
<|TGL|>reyalista	ɾ e a l i s t a
<|TGL|>pilak	p i l a k
<|TGL|>oras	ʔ o ɾ a s
<|TGL|>Damulag	d a m u l a ɡ
<|TGL|>tinga	t i ŋ a
<|TGL|>alternatibo	ʔ a l t e ɾ n a t i b o
<|TGL|>arwa	ʔ a ɾ w a ʔ
<|TGL|>bango	b a ŋ o
<|TGL|>biyopisika	b i o p i s i k a
<|TGL|>talos	t a l o s
<|TGL|>patnugot	p a t n u ɡ o t
<|TGL|>mulinilyo	m u l i n i l j o
<|TGL|>Guillermo	ɡ i l j e ɾ m o
<|TGL|>Koji	k o d͡ʒ i
<|TGL|>siyantung	s i a n t u ŋ
<|TGL|>taling	t a l i ŋ
<|TGL|>pambansa	p a m b a n s a ʔ
<|TGL|>lumakas	l u m a k a s
<|TGL|>Bugtong	b u ɡ t o ŋ
<|TGL|>pitundaan	p i t u n d a ʔ a n
<|TGL|>salaula	s a l a ʔ u l a ʔ
<|TGL|>kunsumisyon	k u n s u m i s j o n
<|TGL|>pambata	p a m b a t a
<|TGL|>awtonomiya	ʔ a w t o n o m i a
<|TGL|>gatid	ɡ a t i d
<|TGL|>Jocson	h o k s o n
<|TGL|>lagundi	l a ɡ u n d i ʔ
<|TGL|>magdaos	p a ɡ d a ʔ o s
<|TGL|>duweto	d u e t o
<|TGL|>halip	h a l i p
<|TGL|>lumuklok	l u m u k l o k
<|TGL|>Enero	ʔ e n e ɾ o
<|TGL|>solusyon	s o l u s j o n
<|TGL|>Tien	t j e n
<|TGL|>tanghalian	t a ŋ h a l i ʔ a n
<|TGL|>nang	n a ŋ
<|TGL|>rumupok	ɾ u m u p o k
<|TGL|>inspeksiyon	ʔ i n s p e k s i o n
<|TGL|>alamang	ʔ a l a m a ŋ
<|TGL|>landi	l a n d i ʔ
<|TGL|>Valera	v a l e ɾ a
<|TGL|>panlinis	p a n l i n i s
