aare	ɑ ɹ ə
tachycardia	t æ k ɪ k ɑ ɹ d i ə
taco	t ɑ k o ʊ
tad	t æ d
tailbud	t e ɪ l b ʌ d
tailcoat	t e ɪ l k o ʊ t
tainted	t e ɪ n t ɪ d
taizhou	t a ɪ d͡ʒ o ʊ
takes	t e ɪ k s
talarozole	t ə l æ ɹ ə z o ʊ l
talents	t æ l ə n t s
tamarind	t æ m ə ɹ ɪ n d
tammy	t æ m i
tamp	t æ m p
tamworth	t æ m w ə ɹ θ
tankard	t æ ŋ k ɚ d
tantrum	t æ n t ɹ ə m
tape	t e ɪ̯ p
tariff	t ɛ ɹ ɪ f
tarnation	t ɑ ɹ n e ɪ ʃ ə n
tases	t e ɪ z ɪ z
tass	t æ s
tasted	t e ɪ s t ɪ d
tayside	t e ɪ s a ɪ d
teetotaling	t i t o ʊ t ə l ɪ ŋ
teflon	t ɛ f l ɔ n
teh	t ɛ
tejolote	t e ɪ h ə l o ʊ t e ɪ
telekong	t ə l ə k o ŋ
telekung	t ə l ə k u ŋ
teleophyte	t ɛ l i o ʊ f a ɪ t
telepathetic	t ɛ l ə p ə t h ɛ t ɪ k
telepathetically	t ɛ l ə p ə θ ɛ t ɪ k l i
telmisartan	t ɛ l m ɪ s ɑ ɹ t ə n
tempted	t ɛ m p t ɪ d
tenecteplase	t ə n ɛ k t ə p l e ɪ s
tenent	t ɛ n ɛ n t
tennessine	t ɛ n ə s i n
tense	t ɛ n s
tenuity	t ə n j u ɪ t i
tenure	t ɛ n j ɚ
term	t ɝ m
termagant	t ɚ m ə ɡ ə n t
terminate	t ɝ m ɪ n e ɪ t
tess	t ɛ s
tetraoxanes	t ɛ t ɹ ə ɔ k s e ɪ n z
thad	θ æ d
thai	t a ɪ
thalia	θ ə l a ɪ ə
tham	t ʌ m
thanatology	θ æ n ə t ɑ l ə d͡ʒ i
thankful	θ æ ŋ k f ə l
thatcherite	θ æ t͡ʃ ə ɹ a ɪ t
thaumaturgy	θ ɔ m ə t ɜ ɹ d͡ʒ i
thebacon	θ i b ə k ɔ n
thematise	θ i m ə t a ɪ z
theocentric	θ i o ʊ s ɛ n t ɹ ɪ k
theosophic	θ i ə s ɑ f ɪ k
thereto	ð ɛ ɚ t u
theseus	θ i s i ə s
thiol	θ a ɪ ɔ l
thiourea	θ a ɪ o ʊ j ʊ ɹ i ə
thirkill	θ ɜ ɹ k ɪ l
thought	θ ɔ t
thrace	θ ɹ e ɪ s
threadbare	θ ɹ ɛ d b ɛ ɹ
threatened	θ ɹ ɛ t n̩ d
threatening	θ ɹ ɛ t n̩ ɪ ŋ
thrombospondin	θ ɹ ɑ m b o ʊ s p ɑ n d ɪ n
thrusts	θ ɹ ʌ s t s
thwack	θ w æ k
tiber	t a ɪ b ə ɹ
tie	t a ɪ
tigris	t a ɪ ɡ ɹ ɪ s
tilly	t ɪ l i
timaru	t ɪ m ə ɹ u
timber	t ɪ m b ɚ
timbrel	t ɪ m b ɹ ə l
timorous	t ɪ m ə ɹ ə s
tinct	t ɪ ŋ k t
tint	t ɪ n t
tiple	t i p l e ɪ
titan	t a ɪ t ə n
titer	t a ɪ t ɚ
tko	t i k e ɪ o ʊ
tlaloc	t l ə l o ʊ k
toadstool	t o ʊ d s t u ə l
tolvaptan	t ɑ l v æ p t ə n
tonicity	t ə n ɪ s ɪ t i
tooele	t u ɛ l ə
tooter	t u t ə r
toothpick	t u θ p ɪ k
toothy	t u θ i
topeka	t ə p i k ə
topology	t ə p ɑ l ə d͡ʒ i
toque	t o ʊ k
torah	t ɔ ɹ ɑ
tornado	t ɔ ɹ n e ɪ d o ʊ
torrefaction	t ɔ ɹ ɪ f æ k ʃ ə n
tother	t ʌ ð ə ɹ
touchdown	t ʌ t͡ʃ d a ʊ n
tourmaline	t ʊ ə ɹ m ə l i n
toxicology	t ɔ k s ɪ k ɔ l ə d͡ʒ i
trachea	t ɹ e ɪ k i ə
tragic	t ɹ æ d͡ʒ ɪ k
traitor	t ɹ e ɪ t ɚ
transcendence	t ɹ æ n t s ɛ n d ə n s
transcendental	t ɹ æ n s ɛ n d ɛ n t ə l
transship	t ɹ æ n z ʃ ɪ p
transwell	t ɹ æ n z w ɛ l
tray	t ɹ e ɪ
tregear	t ɹ ə ɡ ɪ ə ɹ
tren	t ɹ ɛ n
trendy	t ɹ ɛ n d i
trepidation	t ɹ ɛ p ɪ d e ɪ ʃ ə n
triamterene	t ɹ a ɪ æ m t ə ɹ i n
triathlon	t ɹ a ɪ æ θ l ɔ n
trifecta	t ɹ a ɪ f ɛ k t ə
trig	t ɹ ɪ ɡ
trillion	t ɹ ɪ l j ə n
trinketry	t ɹ ɪ ŋ k ɪ t ɹ i
triptote	t ɹ ɪ p t o ʊ t
trisector	t ɹ a ɪ s ɛ k t ɚ
tritone	t͡ʃ ɹ a ɪ t o ʊ n
triviality	t ɹ ɪ v i æ l ə t i
trowel	t ɹ a ʊ ə l
truculent	t ɹ ʌ k j ʊ l ə n t
try	t ɹ a ɪ
tsipouro	t s ɪ p ʊ ɹ o ʊ
tteok	t ʌ k
tuatapere	t u ɑ t a p ə ɹ i
tugboat	t ʌ ɡ b o ʊ t
tumbrel	t ʌ m b ɹ ə l
tunes	t j ʉː n s
tunis	t u n ə s
turbid	t ɜ ɹ b ɪ d
turkestan	t ɜ ɹ k ɪ s t æ n
turkman	t ɜ ɹ k m ə n
turntable	t ɝ n t e ɪ b ə l
tweeter	t w i t ɚ
twins	t w ɪ n z
twite	t w a ɪ t
tympanic	t ɪ m p æ n ɪ k
typing	t a ɪ p ɪ ŋ
tyres	t a ɪ ə ɹ z
ubiquitous	j u b ɪ k w ɪ t ə s
uefa	j u e ɪ f ə
uggo	ʌ ɡ o ʊ
ulp	ʌ l p
ultramarine	ʌ l t ɹ ə m ə ɹ i n
umber	ʌ m b ɚ
umgang	ʌ m ɡ a ŋ
unbeknownst	ʌ n b ɪ n o ʊ n s t
uncaged	ʌ n k e ɪ d͡ʒ d
unconstancy	ʌ n k ɔ n s t ə n s i
underarm	ʌ n d ɚ ɑ ɹ m
underwrite	ʌ n d ə ɹ a ɪ t
undone	ʌ n d ʌ n
unenabled	ʌ n ə n e ɪ b ə l d
unesco	j u n ɛ s k o ʊ
unexpectedly	ʌ n ɪ k s p ɛ k t ɪ d l i
unfortunate	ʌ n f ɔ ɹ t͡ʃ ə n ɪ t
unfriendly	ʌ n f ɹ ɛ n d l i
unfurl	ʌ n f ɝ l
ungrab	ʌ n ɡ ɹ æ b
unhinge	ʌ n h ɪ n d͡ʒ
uniformize	j u n ɪ f ɔ ɹ m a ɪ z
unknot	ʌ n n ɔ t
unpretentious	ʌ n p ɹ ə t ɛ n ʃ ə s
unredressable	ʌ n ɹ ɪ d ɹ ɛ s ə b ə l
unvitiated	ʌ n v ɪ ʃ i e ɪ t ɪ d
uphold	ʌ p h o l d
uptalking	ə p t ɔ k ɪ ŋ
urethra	j ʊ ɹ i θ ɹ ə
usable	j u z ə b ə l
usie	ʌ s i
using	j u z ɪ ŋ
uterus	j u t ə ɹ ə s
uxoricide	ʌ k s ɔ ɹ ɪ s a ɪ d
vali	v ɑ l ɪ
valiant	v æ l j ə n t
validate	v æ l ə d e ɪ t
validation	v æ l ə d e ɪ ʃ ə n
valleys	v æ l i z
vancomycin	v æ ŋ k ə m a ɪ s ɪ n
vandal	v æ n d ə l
vanish	v æ n ɪ ʃ
vaticination	v ə t ɪ s ɪ n e ɪ ʃ ə n
vega	v e ɪ ɡ ə
vegeburger	v ɛ d͡ʒ i b ɜ ɹ ɡ ə ɹ
vegetal	v ɛ d͡ʒ ɪ̈ t l̩
venda	v ɛ n d ə
venomous	v ɛ n ə m ə s
verdure	v ɜ d͡ʒ ɚ
veridical	v ə ɹ ɪ d ɪ k ə l
vetter	v ɛ t ɚ
vibrissa	v ɪ b ɹ ɪ s ə
vicegerency	v a ɪ s d͡ʒ ɪ ə ɹ ə n t s i
victories	v ɪ k t ə ɹ i z
victuals	v ɪ t l̩ z
vig	v ɪ ɡ
vigil	v ɪ d͡ʒ ə l
vigneron	v i n j ə ɹ ɔ̃
vignette	v ɪ n j ɛ t
vila	v i l ə
villages	v ɪ l ɪ d͡ʒ ɪ z
vindication	v ɪ n d ɪ k e ɪ ʃ ə n
violoncello	v a ɪ ə l ə n t͡ʃ ɛ l o ʊ
virginian	v ɚ d͡ʒ ɪ n j ə n
virtuous	v ɝ t͡ʃ u ə s
vishnu	v ɪ ʃ n u
vivid	v ɪ v ɪ d
vivifying	v ɪ v ɪ f ʌ ɪ ŋ
vogt	v o ʊ ɡ t
vogue	v o ʊ ɡ
volley	v ɔ l i
voltaic	v ɔ l t e ɪ ɪ k
voluntary	v ɑ l ə n t ɛ ɹ i
vorozole	v ɔ ɹ ə z o ʊ l
wabash	w ɑ b æ ʃ
wack	w æ k
wallaby	w ɑ l ə b i
war	w ɔ ɹ
wasp	w ɑ s p
watercress	w ɔ t ə ɹ k ɹ ɛ s
wattle	w ɔ t ə l
waving	w e ɪ v ɪ ŋ
waxy	w æ k s i
weaken	w i k ə n
weaponize	w ɛ p ə n a ɪ z
weely	w i l i
weevil	w i v ɪ l
wellington	w ɛ l ɪ ŋ t ə n
welly	w ɛ l i
weltanschauung	v ɛ l t ɑ n ʃ a ʊ ʊ ŋ
welwyn	w ɛ l ɪ n
wesleyanism	w ɛ z l ɪ ə n ɪ z ə m
westside	w ɛ s t s a ɪ d
wharfage	w ɔ ɹ f ɪ d͡ʒ
whiffle	w ɪ f l̩
wholly	h o ʊ l i
whoo	w u
whooshy	w u ʃ i
whyja	w a ɪ d͡ʒ ə
wicky	w ɪ k i
wilde	w a ɪ l d
willing	w ɪ l ɪ ŋ
wilton	w ɪ l t ə n
windage	w ɪ n d ɪ d͡ʒ
windowsill	w ɪ n d o ʊ s ɪ l
winner	w ɪ n ɚ
wiper	w a ɪ p ɚ
wiry	w a ɪ ə ɹ i
withers	w ɪ ð ɚ z
witherward	w ɪ ð ə ɹ w ə ɹ d
wlan	d ʌ b ə l j u l æ n
woken	w o ʊ k ə n
woman	w ʊ m ə n
wonder	w ʌ n d ɚ
woodchuck	w ʊ d t͡ʃ ʌ k
working	w ɝ k ɪ ŋ
woundable	w u n d ə b ə l
wounds	w u n d z
wrath	ɹ æ θ
wrength	ɹ ɛ ŋ θ
wrexham	ɹ ɛ k s ə m
wrizzled	ɹ ɪ z ə l d
wronged	ɹ ɔ ŋ d
wushu	w u ʃ u
wuss	w ʊ s
wuvz	w ʌ v z
xining	ʃ i n ɪ ŋ
xizang	ʃ i z ɑ ŋ
yahweh	j ɑ w e ɪ
yak	j æ k
yank	j æ ŋ k
yare	j ɛ ɹ
yeovil	j o ʊ v ɪ l
yerevanian	j e ɹ ə v ɑ n i ə n
yes	j ɛ s
yesses	j ɛ s ɪ z
yeung	j ʌ ŋ
yiwu	j i w u
yoicks	j ɔ ɪ k s
yonic	j o ʊ n ɪ k
zachary	z æ k ə ɹ i
zed	z ɛ d
zelensky	z ɪ l ɛ n s k i
zerbert	z ɜ ɹ b ə ɹ t
zerk	z ɝ k
zetetic	z ə t ɛ t ɪ k
zillionths	z ɪ l j ə n θ s
zine	z i n
zinefan	z i n f æ n
zipper	z ɪ p ɚ
ziti	z i t i
zoologist	z o ʊ ɑ l ə d͡ʒ ɪ s t
zowie	z a ʊ ɪ
zythology	z a ɪ θ ɔ l ə d͡ʒ i
