<|GER|>ab	a p
<|DUT|>boa	b oː aː
<|DUT|>bod	b ɔ t
<|DUT|>bodemonderzoek	b oː d ə m ɔ n d ə r z u k
<|DUT|>boedapest	b u d aː p ɛ s t
<|DUT|>boekjaar	b u k j aː r
<|DUT|>bolsward	b ɔ l s ʋ ɑ r t
<|DUT|>bolvormig	b ɔ l v ɔ r m ə x
<|DUT|>borger	b ɔ r ɣ ə r
<|DUT|>borrel	b ɔ r ə l
<|DUT|>borst	b ɔ r s t
<|DUT|>bosnië	b ɔ s n i ə
<|DUT|>boswachter	b ɔ s ʋ ɑ x t ə r
<|DUT|>botsing	b ɔ t s ɪ ŋ
<|DUT|>botswana	b ɔ t s ʋ aː n aː
<|DUT|>botten	b ɔ t ə n
<|DUT|>bovenal	b oː v ə n ɑ l
<|DUT|>bovenkant	b oː v ə n k ɑ n t
<|DUT|>boventoon	b oː v ə n t oː n
<|DUT|>brandstof	b r ɑ n t s t ɔ f
<|DUT|>breed	b r eː t
<|DUT|>broeikaseffect	b r u i̯ k ɑ s ɛ f ɛ k t
<|DUT|>broncode	b r ɔ n k oː d ə
<|DUT|>bronkhorst	b r ɔ ŋ k ɦ ɔ r s t
<|DUT|>bruine	b r œ y̯ n ə
<|DUT|>btw	b eː t eː ʋ eː
<|DUT|>budgetteren	b ʏ d ʒ ɛ t eː r ə n
<|DUT|>buggy	b ʏ ɡ i
<|DUT|>buienradar	b œ y̯ ə n r aː d ɑ r
<|DUT|>buiging	b œ y̯ ɣ ɪ ŋ
<|DUT|>buitenaf	b œ y̯ t ə n ɑ f
<|DUT|>buitenspelval	b œ y̯ t ə n s p ɛ l v ɑ l
<|DUT|>buitentrouw	b œ y̯ t ə n t r ɑ u̯
<|DUT|>bukken	b ʏ k ə n
<|DUT|>burchtheer	b ʏ r x t ɦ eː r
<|DUT|>byzantijns	b i z ɑ n t ɛ i̯ n s
<|DUT|>cabine	k aː b i n ə
<|DUT|>calamiteit	k aː l aː m i t ɛ i̯ t
<|DUT|>californië	k aː l i f ɔ r n i ə
<|DUT|>capitool	k aː p i t oː l
<|DUT|>cataract	k aː t aː r ɑ k t
<|DUT|>cement	s ə m ɛ n t
<|DUT|>charmant	ʃ ɑ r m ɑ n t
<|DUT|>chef	ʃ ɛ f
<|DUT|>chemie	x eː m i
<|DUT|>chirurgie	ʃ i r ʏ r ɣ i
<|DUT|>cimbaal	s ɪ m b aː l
<|DUT|>clown	k l ɑ u̯ n
<|DUT|>coach	k oː t ʃ
<|DUT|>compensatie	k ɔ m p ɛ n z aː t s i
<|DUT|>completeren	k ɔ m p l eː t eː r ə n
<|DUT|>complexiteit	k ɔ m p l ɛ k s i t ɛ i̯ t
<|DUT|>componist	k ɔ m p oː n ɪ s t
<|DUT|>compositie	k ɔ m p oː z i t s i
<|DUT|>computerspel	k ɔ m p j u t ə r s p ɛ l
<|DUT|>concilie	k ɔ n s i l i
<|DUT|>concluderen	k ɔ ŋ k l y d eː r ə n
<|DUT|>condoleren	k ɔ n d oː l eː r ə n
<|DUT|>condoom	k ɔ n d oː m
<|DUT|>conservatisme	k ɔ n z ɛ r v aː t ɪ s m ə
<|DUT|>constant	k ɔ n s t ɑ n t
<|DUT|>contact	k ɔ n t ɑ k t
<|DUT|>convenant	k ɔ n v ə n ɑ n t
<|DUT|>coulisselandschap	k u l i z ə l ɑ n t s x ɑ p
<|DUT|>crèmekleurig	k r ɛː m k l øː r ə x
<|DUT|>curator	k y r aː t ɔ r
<|DUT|>cyprus	s i p r ʏ s
<|DUT|>daarin	d aː r ɪ n
<|DUT|>daarom	d aː r ɔ m
<|DUT|>daartegen	d aː r t eː ɣ ə n
<|DUT|>daartegenover	d aː r t eː ɣ ə n oː v ə r
<|DUT|>dakdekker	d ɑ k d ɛ k ə r
<|DUT|>danig	d aː n ə x
<|DUT|>dankjewel	d ɑ ŋ k j ə ʋ ɛ l
<|DUT|>dato	d aː t oː
<|DUT|>david	d aː v ɪ t
<|DUT|>ddr	d eː d eː ɛ r
<|DUT|>decaan	d eː k aː n
<|DUT|>decentralisering	d eː s ɛ n t r aː l i z eː r ɪ ŋ
<|DUT|>deelstaat	d eː l s t aː t
<|DUT|>dekmantel	d ɛ k m ɑ n t ə l
<|DUT|>delft	d ɛ l f t
<|DUT|>demonstreren	d eː m ɔ n s t r eː r ə n
<|DUT|>demper	d ɛ m p ə r
<|DUT|>deregulering	d eː r eː ɣ y l eː r ɪ ŋ
<|DUT|>dergelijk	d ɛ r ɣ ə l ə k
<|DUT|>desgewenst	d ɛ s x ə ʋ ɛ n s t
<|DUT|>deskundige	d ɛ s k ʏ n d ə ɣ ə
<|DUT|>detail	d eː t ɑ i̯
<|DUT|>dierenpark	d iː r ə n p ɑ r k
<|DUT|>diner	d i n eː
<|DUT|>diploma	d i p l oː m aː
<|DUT|>disco	d ɪ s k oː
<|DUT|>discriminatie	d ɪ s k r i m i n aː t s i
<|DUT|>discrimineren	d ɪ s k r i m i n eː r ə n
<|DUT|>do	d oː
<|DUT|>doctoraat	d ɔ k t oː r aː t
<|DUT|>doelpunt	d u l p ʏ n t
<|DUT|>domein	d oː m ɛ i̯ n
<|DUT|>donderdagochtend	d ɔ n d ə r d ɑ x ɔ x t ə n t
<|DUT|>donkerblauw	d ɔ ŋ k ə r b l ɑ u̯
<|DUT|>dooddoener	d oː t d u n ə r
<|DUT|>doorbrengen	d oː r b r ɛ ŋ ə n
<|DUT|>doordeweeks	d oː r d ə ʋ eː k s
<|DUT|>doorlopend	d oː r l oː p ə n t
<|DUT|>doorsnijden	d oː r s n ɛ i̯ d ə n
<|DUT|>doorstart	d oː r s t ɑ r t
<|DUT|>doppen	d ɔ p ə n
<|DUT|>dorpsplein	d ɔ r p s p l ɛ i̯ n
<|DUT|>dove	d oː v ə
<|DUT|>draf	d r ɑ f
<|DUT|>drama	d r aː m aː
<|DUT|>drang	d r ɑ ŋ
<|DUT|>driecilinder	d r i s i l ɪ n d ə r
<|DUT|>driejarig	d r i j aː r ə x
<|DUT|>drievoudig	d r i v ɑ u̯ d ə x
<|DUT|>drijfveer	d r ɛ i̯ f eː r
<|DUT|>drink	d r ɪ ŋ k
<|DUT|>droogte	d r oː x t ə
<|DUT|>drukker	d r ʏ k ə r
<|DUT|>drukte	d r ʏ k t ə
<|DUT|>duidelijk	d œ y̯ d ə l ə k
<|DUT|>duim	d œ y̯ m
<|DUT|>duivel	d œ y̯ v ə l
<|DUT|>duizelingwekkend	d œ y̯ z ə l ɪ ŋ ʋ ɛ k ə n t
<|DUT|>dwaas	d ʋ aː s
<|DUT|>dwarszitten	d ʋ ɑ r s ɪ t ə n
<|DUT|>dweilen	d ʋ ɛ i̯ l ə n
<|DUT|>dwingen	d ʋ ɪ ŋ ə n
<|DUT|>dyslexie	d ɪ s l ɛ k s i
<|DUT|>echter	ɛ x t ə r
<|DUT|>eden	eː d ə n
<|DUT|>eenzaam	eː n z aː m
<|DUT|>eerstejaars	eː r s t ə j aː r s
<|DUT|>eeuwigheid	eː u̯ ə x ɦ ɛ i̯ t
<|DUT|>effect	ɛ f ɛ k t
<|DUT|>eieren	ɛ i̯ j ə r ə n
<|DUT|>eigenwijs	ɛ i̯ ɣ ə n ʋ ɛ i̯ s
<|DUT|>einde	ɛ i̯ n d ə
<|DUT|>els	ɛ l s
<|DUT|>ene	eː n ə
<|DUT|>eredivisie	eː r ə d i v i s i
<|DUT|>erfzonde	ɛ r f s ɔ n d ə
<|DUT|>evenknie	eː v ə n k n i
<|DUT|>extract	ɛ k t r ɑ k t
<|DUT|>fabriceren	f ɑ b r i s eː r ə n
<|DUT|>factuur	f ɑ k t yː r
<|DUT|>feit	f ɛ i̯ t
<|DUT|>flevoland	f l eː v oː l ɑ n t
<|DUT|>fotografie	f oː t oː ɣ r aː f i
<|DUT|>fretten	f r ɛ t ə n
<|DUT|>fundering	f ʏ n d eː r ɪ ŋ
<|DUT|>föhn	f øː n
<|DUT|>gade	ɣ aː d ə
<|DUT|>game	ɡ eː m
<|DUT|>garde	ɣ ɑ r d ə
<|DUT|>gas	ɣ ɑ s
<|DUT|>gastvrij	ɣ ɑ s t f r ɛ i̯
<|DUT|>gastvrijheid	ɣ ɑ s t f r ɛ i̯ ɦ ɛ i̯ t
<|DUT|>gebouw	ɣ ə b ɑ u̯
<|DUT|>geheten	ɣ ə ɦ eː t ə n
<|DUT|>gek	ɣ ɛ k
<|DUT|>gelaat	ɣ ə l aː t
<|DUT|>geldbuidel	ɣ ɛ l t b œ y̯ d ə l
<|DUT|>geleen	ɣ ə l eː n
<|DUT|>gelijkstelling	ɣ ə l ɛ i̯ k s t ɛ l ɪ ŋ
<|DUT|>gelijktijdigheid	ɣ ə l ɛ i̯ k t ɛ i̯ d ə ɣ ɦ ɛ i̯ d
<|DUT|>geluid	ɣ ə l œ y̯ t
<|DUT|>geologie	ɣ eː oː l oː ɣ i
<|DUT|>geschenk	ɣ ə s x ɛ ŋ k
<|DUT|>geweld	ɣ ə ʋ ɛ l t
<|DUT|>gewoon	ɣ ə ʋ oː n
<|DUT|>gezagvoerder	ɣ ə z ɑ x f uː r d ə r
<|DUT|>giftig	ɣ ɪ f t ə x
<|DUT|>gillen	ɣ ɪ l ə n
<|DUT|>glastuinbouw	ɣ l ɑ s t œ y̯ n b ɑ u̯
<|DUT|>gloeilamp	ɣ l u i̯ l ɑ m p
<|DUT|>goede	ɣ u d ə
<|DUT|>goes	ɣ u s
<|DUT|>gordijn	ɣ ɔ r d ɛ i̯ n
<|DUT|>grapjas	ɣ r ɑ p j ɑ s
<|DUT|>grasduinen	ɣ r ɑ s d œ y̯ n ə n
<|DUT|>grassen	ɣ r ɑ s ə n
<|DUT|>guichelheil	ɣ œ y̯ x ə l ɦ ɛ i̯ l
<|DUT|>haan	ɦ aː n
<|DUT|>half	ɦ ɑ l f
<|DUT|>hamer	ɦ aː m ə r
<|DUT|>hanteerbaar	ɦ ɑ n t eː r b aː r
<|DUT|>heerlijk	ɦ eː r l ə k
<|DUT|>heiligen	ɦ ɛ i̯ l ə ɣ ə n
<|DUT|>hele	ɦ eː l ə
<|DUT|>hermans	ɦ ɛ r m ɑ n s
<|DUT|>hester	ɦ ɛ s t ə r
<|DUT|>hollen	ɦ ɔ l ə n
<|DUT|>homeopathisch	ɦ oː m eː oː p aː t i s
<|DUT|>honkbalknuppel	ɦ ɔ ŋ k b ɑ l k n ʏ p ə l
<|DUT|>hoofdredacteur	ɦ oː f t r eː d ɑ k t øː r
<|DUT|>horizon	ɦ oː r i z ɔ n
<|DUT|>houten	ɦ ɑ u̯ t ə n
<|DUT|>houtworm	ɦ ɑ u̯ t ʋ ɔ r m
<|DUT|>huilebalk	ɦ œ y̯ l ə b ɑ l k
<|DUT|>huis	ɦ œ y̯ s
<|DUT|>huishoudelijk	ɦ œ y̯ s ɦ ɑ u̯ d ə l ə k
<|DUT|>huisvesting	ɦ œ y̯ s f ɛ s t ɪ ŋ
<|DUT|>hup	ɦ ʏ p
<|DUT|>ijmuiden	ɛ i̯ m œ y̯ d ə n
<|DUT|>in	ɪ n
<|DUT|>indien	ɪ n d i n
<|DUT|>indonesisch	ɪ n d oː n eː z i s
<|DUT|>indonesië	ɪ n d oː n eː z i j ə
<|DUT|>inflatie	ɪ n f l aː t s i
<|DUT|>instituut	ɪ n s t i t y t
<|DUT|>instrumentarium	ɪ n s t r y m ɛ n t aː r i ʏ m
<|DUT|>interbellum	ɪ n t ə r b ɛ l ʏ m
<|DUT|>interland	ɪ n t ə r l ɑ n t
<|DUT|>introductie	ɪ n t r oː d ʏ k s i
<|DUT|>intuïtie	ɪ n t y i t s i
<|DUT|>inwerken	ɪ n ʋ ɛ r k ə n
<|DUT|>irakees	i r aː k eː s
<|DUT|>jaarabonnement	j aː r ɑ b ɔ n ə m ɛ n t
<|DUT|>jammer	j ɑ m ə r
<|DUT|>jarige	j aː r ə ɣ ə
<|DUT|>jong	j ɔ ŋ
<|DUT|>jongleren	j ɔ ŋ l eː r ə n
<|DUT|>juffrouw	j ʏ f r ɑ u̯
<|DUT|>ka	k aː
<|DUT|>kabel	k aː b ə l
<|DUT|>kaf	k ɑ f
<|DUT|>kalief	k aː l i f
<|DUT|>kalmte	k ɑ l m t ə
<|DUT|>kamp	k ɑ m p
<|DUT|>kankerhoer	k ɑ ŋ k ə r ɦ uː r
<|DUT|>kapster	k ɑ p s t ə r
<|DUT|>karavaan	k aː r aː v aː n
<|DUT|>karikatuur	k aː r i k aː t y r
<|DUT|>katje	k ɑ t j ə
<|DUT|>katwijk	k ɑ t ʋ ɛ i̯ k
<|DUT|>kazen	k aː z ə n
<|DUT|>keer	k eː r
<|DUT|>kempen	k ɛ m p ə n
<|DUT|>kentering	k ɛ n t ə r ɪ ŋ
<|DUT|>kerkhof	k ɛ r k ɦ ɔ f
<|DUT|>kerkrade	k ɛ r k r aː d ə
<|DUT|>kerstdag	k ɛ r s d ɑ x
<|DUT|>keuren	k øː r ə n
<|DUT|>kiespijn	k i s p ɛ i̯ n
<|DUT|>kin	k ɪ n
<|DUT|>klaslokaal	k l ɑ s l oː k aː l
<|DUT|>klauw	k l ɑ u̯
<|DUT|>kleed	k l eː t
<|DUT|>kleindochter	k l ɛ i̯ n d ɔ x t ə r
<|DUT|>kleinood	k l ɛ i̯ n oː t
<|DUT|>klit	k l ɪ t
<|DUT|>knokpartij	k n ɔ k p ɑ r t ɛ i̯
<|DUT|>koeien	k u i̯ ə n
<|DUT|>komplot	k ɔ m p l ɔ t
<|DUT|>komt	k ɔ m t
<|DUT|>koningin	k oː n ɪ ŋ ɪ n
<|DUT|>koninkrijk	k oː n ɪ ŋ k r ɛ i̯ k
<|DUT|>koolrabi	k oː l r aː b i
<|DUT|>koper	k oː p ə r
<|DUT|>koraal	k oː r aː l
<|DUT|>korea	k oː r eː aː
<|DUT|>krachtdadig	k r ɑ x t d aː d ə x
<|DUT|>krentenbol	k r ɛ n t ə n b ɔ l
<|DUT|>krijgsman	k r ɛ i̯ x s m ɑ n
<|DUT|>kringloopwinkel	k r ɪ ŋ l oː p ʋ ɪ ŋ k ə l
<|DUT|>krokusvakantie	k r oː k ʏ s f aː k ɑ n t s i
<|DUT|>krukas	k r ʏ k ɑ s
<|DUT|>kustplaats	k ʏ s t p l aː t s
<|DUT|>lappen	l ɑ p ə n
<|DUT|>lees	l eː s
<|DUT|>leesten	l eː s t ə n
<|DUT|>leesvoer	l eː s v uː r
<|DUT|>legerleiding	l eː ɣ ə r l ɛ i̯ d ɪ ŋ
<|DUT|>legt	l ɛ x t
<|DUT|>leiding	l ɛ i̯ d ɪ ŋ
<|DUT|>letten	l ɛ t ə n
<|DUT|>letterkundig	l ɛ t ə r k ʏ n d ə x
<|DUT|>leuk	l øː k
<|DUT|>lia	l i aː
<|DUT|>liep	l i p
<|DUT|>limbo	l ɪ m b oː
<|DUT|>lisse	l ɪ s ə
<|DUT|>listig	l ɪ s t ə x
<|DUT|>livestream	l ɑ i̯ v s t r iː m
<|DUT|>locomotief	l oː k oː m oː t i f
<|DUT|>logisch	l oː ɣ i s
<|DUT|>loket	l oː k ɛ t
<|DUT|>londen	l ɔ n d ə n
<|DUT|>loopjongen	l oː p j ɔ ŋ ə n
<|DUT|>lopen	l oː p ə n
<|DUT|>losser	l ɔ s ə r
<|DUT|>lotte	l ɔ t ə
<|DUT|>luchtweerstand	l ʏ x t ʋ eː r s t ɑ n t
<|DUT|>luier	l œ y̯ ə r
<|DUT|>luisterboek	l œ y̯ s t ə r b u k
<|DUT|>maagd	m aː x t
<|DUT|>maar	m aː r
<|DUT|>maat	m aː t
<|DUT|>macedonië	m ɑ s ə d oː n i j ə
<|DUT|>maf	m ɑ f
<|DUT|>mager	m aː ɣ ə r
<|DUT|>maria	m aː r i j aː
<|DUT|>markteconomie	m ɑ r k t eː k oː n oː m i
<|DUT|>marktplaats	m ɑ r k t p l aː t s
<|DUT|>marktwerking	m ɑ r k t ʋ ɛ r k ɪ ŋ
<|DUT|>martelen	m ɑ r t ə l ə n
<|DUT|>mavo	m aː v oː
<|DUT|>maya	m aː j aː
<|DUT|>medezeggenschap	m eː d ə z ɛ ɣ ə n s x ɑ p
<|DUT|>mediatheek	m eː d i aː t eː k
<|DUT|>meervoud	m eː r v ɑ u̯ t
<|DUT|>meijer	m ɛ i̯ ə r
<|DUT|>meisjes	m ɛ i̯ s j ə s
<|DUT|>melkweg	m ɛ l k ʋ ɛ x
<|DUT|>mening	m eː n ɪ ŋ
<|DUT|>mensen	m ɛ n s ə n
<|DUT|>mensenmassa	m ɛ n s ə n m ɑ s aː
<|DUT|>mensensmokkel	m ɛ n s ə n s m ɔ k ə l
<|DUT|>merel	m eː r ə l
<|DUT|>meter	m eː t ə r
<|DUT|>metro	m eː t r oː
<|DUT|>migraine	m i ɡ r ɛː n ə
<|DUT|>milieubelasting	m ɪ l j øː b ə l ɑ s t ɪ ŋ
<|DUT|>miljonair	m ɪ l j oː n ɛ r
<|DUT|>mislukken	m ɪ s l ʏ k ə n
<|DUT|>modder	m ɔ d ə r
<|DUT|>moeheid	m u ɦ ɛ i̯ t
<|DUT|>moeras	m u r ɑ s
<|DUT|>moeten	m u t ə n
<|DUT|>molenaar	m oː l ə n aː r
<|DUT|>mollen	m ɔ l ə n
<|DUT|>mondkap	m ɔ n t k ɑ p
<|DUT|>moreel	m oː r eː l
<|DUT|>muggenzifter	m ʏ ɣ ə n z ɪ f t ə r
<|DUT|>munten	m ʏ n t ə n
<|DUT|>mutant	m y t ɑ n t
<|DUT|>namaken	n aː m aː k ə n
<|DUT|>nasmaak	n aː s m aː k
<|DUT|>natiestaat	n aː t s i s t aː t
<|DUT|>natuursteen	n aː t yː r s t eː n
<|DUT|>nauwkeurig	n ɑ u̯ k øː r ə x
<|DUT|>navo	n aː v oː
<|DUT|>nederlands	n eː d ə r l ɑ n t s
<|DUT|>neptunus	n ɛ p t y n ʏ s
<|DUT|>netjes	n ɛ t j ə s
<|DUT|>neurochirurg	n øː r oː ʃ i r ʏ r x
<|DUT|>nijd	n ɛ i̯ t
<|DUT|>noemer	n u m ə r
<|DUT|>noodlottig	n oː t l ɔ t ə x
<|DUT|>novum	n oː v ʏ m
<|DUT|>oceaan	oː s eː j aː n
<|DUT|>oekaze	u k aː z ə
<|DUT|>oekraïne	u k r aː i n ə
<|DUT|>oeps	u p s
<|DUT|>ofschoon	ɔ f s x oː n
<|DUT|>ogen	oː ɣ ə n
<|DUT|>olietanker	oː l i t ɛ ŋ k ə r
<|DUT|>oliewinning	oː l i ʋ ɪ n ɪ ŋ
<|DUT|>olifantenpad	oː l i f ɑ n t ə n p ɑ t
<|DUT|>omarmen	ɔ m ɑ r m ə n
<|DUT|>ommetje	ɔ m ə t j ə
<|DUT|>onbenul	ɔ n b ə n ʏ l
<|DUT|>onbereikbaar	ɔ n b ə r ɛ i̯ k b aː r
<|DUT|>ondergeschikte	ɔ n d ə r ɣ ə s x ɪ k t ə
<|DUT|>onderwereld	ɔ n d ə r ʋ eː r ə l t
<|DUT|>ongeluk	ɔ ŋ ɣ ə l ʏ k
<|DUT|>onmogelijk	ɔ n m oː ɣ ə l ə k
<|DUT|>ontberingen	ɔ n t b eː r ɪ ŋ ə n
<|DUT|>ontnemen	ɔ n t n eː m ə n
<|DUT|>ontruimen	ɔ n t r œ y̯ m ə n
<|DUT|>ooit	oː i̯ t
<|DUT|>oorlog	oː r l ɔ x
<|DUT|>oosten	oː s t ə n
<|DUT|>oostzee	oː s t s eː
<|DUT|>opbouw	ɔ p b ɑ u̯
<|DUT|>opgeruimd	ɔ p x ə r œ y̯ m t
<|DUT|>opgeven	ɔ p x eː v ə n
<|DUT|>opkomen	ɔ p k oː m ə n
<|DUT|>oppositie	ɔ p oː z i t s i
<|DUT|>optimaal	ɔ p t i m aː l
<|DUT|>opvijzelen	ɔ p f ɛ i̯ z ɛ l ɛ n
<|DUT|>opzetten	ɔ p z ɛ t ə n
<|DUT|>ouwe	ɑ u̯ ə
<|DUT|>overlast	oː v ə r l ɑ s t
<|DUT|>overlaten	oː v ə r l aː t ə n
<|DUT|>overname	oː v ə r n aː m ə
<|DUT|>overplaatsen	oː v ə r p l aː t s ə n
<|DUT|>overzetten	oː v ə r z ɛ t ə n
<|DUT|>overzicht	oː v ə r z ɪ x t
<|DUT|>oxaalzuur	ɔ k s aː l z yː r
<|DUT|>pak	p ɑ k
<|DUT|>paniekvoetbal	p aː n i k f u t b ɑ l
<|DUT|>papierwerk	p aː p iː r ʋ ɛ r k
<|DUT|>parelmoer	p aː r ə l m uː r
<|DUT|>park	p ɑ r k
<|DUT|>parkeerplaats	p ɑ r k eː r p l aː t s
<|DUT|>parking	p ɑ r k ɪ ŋ
<|DUT|>pasgeboren	p ɑ s x ə b oː r ə n
<|DUT|>pech	p ɛ x
<|DUT|>perceel	p ɛ r s eː l
<|DUT|>persen	p ɛ r s ə n
<|DUT|>pijpleiding	p ɛ i̯ p l ɛ i̯ d ɪ ŋ
<|DUT|>pikdonker	p ɪ k d ɔ ŋ k ə r
<|DUT|>pillewegge	p ɪ l ə ʋ ɛ ɣ ə
<|DUT|>pindakaas	p ɪ n d aː k aː s
<|DUT|>pissebed	p ɪ s ə b ɛ t
<|DUT|>plaat	p l aː t
<|DUT|>plaats	p l aː t s
<|DUT|>plan	p l ɑ n
<|DUT|>plasma	p l ɑ s m aː
<|DUT|>plastiek	p l ɑ s t i k
<|DUT|>ploert	p l uː r t
<|DUT|>politiek	p oː l i t i k
<|DUT|>pompen	p ɔ m p ə n
<|DUT|>postbode	p ɔ s t b oː d ə
<|DUT|>postbus	p ɔ s t b ʏ s
<|DUT|>pot	p ɔ t
<|DUT|>printen	p r ɪ n t ə n
<|DUT|>proost	p r oː s t
<|DUT|>prostituee	p r ɔ s t i t y eː
<|DUT|>prothese	p r oː t eː z ə
<|DUT|>provinciën	p r oː v ɪ n s i ə n
<|DUT|>publiek	p y b l i k
<|DUT|>puin	p œ y̯ n
<|DUT|>quarantaine	k aː r ɑ n t ɛː n ə
<|DUT|>raadplegen	r aː t p l eː ɣ ə n
<|DUT|>raadslid	r aː t s l ɪ t
<|DUT|>raam	r aː m
<|DUT|>rare	r aː r ə
<|DUT|>ravage	r aː v aː ʒ ə
<|DUT|>recepten	r ə s ɛ p t ə n
<|DUT|>reken	r eː k ə n
<|DUT|>rellen	r ɛ l ə n
<|DUT|>remmen	r ɛ m ə n
<|DUT|>renswoude	r ɛ n s ʋ ɑ u̯ d ə
<|DUT|>rijdt	r ɛ i̯ t
<|DUT|>rijswijk	r ɛ i̯ s ʋ ɛ i̯ k
<|DUT|>rijweg	r ɛ i̯ ʋ ɛ x
<|DUT|>ring	r ɪ ŋ
<|DUT|>rit	r ɪ t
<|DUT|>rits	r ɪ t s
<|DUT|>roeien	r u i̯ ə n
<|DUT|>roeren	r u r ə n
<|DUT|>rol	r ɔ l
<|DUT|>roof	r oː f
<|DUT|>rook	r oː k
<|DUT|>ruim	r œ y̯ m
<|DUT|>ruimtekromme	r œ y̯ m t ə k r ɔ m ə
<|DUT|>ruimteveer	r œ y̯ m t ə v eː r
<|DUT|>rust	r ʏ s t
<|DUT|>ruth	r ʏ t
<|DUT|>ruïneren	r y i n eː r ə n
<|DUT|>salomonseilanden	s aː l oː m ɔ n s ɛ i̯ l ɑ n d ə n
<|DUT|>samenstelling	s aː m ə n s t ɛ l ɪ ŋ
<|DUT|>sarah	s aː r aː
<|DUT|>sassenheim	s ɑ s ə n ɦ ɛ i̯ m
<|DUT|>schaal	s x aː l
<|DUT|>schaker	s x aː k ə r
<|DUT|>schapenvlees	s x aː p ə n v l eː s
<|DUT|>schelpenpad	s x ɛ l p ə n p ɑ t
<|DUT|>schenking	s x ɛ ŋ k ɪ ŋ
<|DUT|>scherp	s x ɛ r p
<|DUT|>scherpen	s x ɛ r p ə n
<|DUT|>schilderkunst	s x ɪ l d ə r k ʏ n s t
<|DUT|>schizofrenie	s x i t s oː f r eː n i
<|DUT|>schoeien	s x u i̯ ə n
<|DUT|>schokland	s x ɔ k l ɑ n t
<|DUT|>schreef	s x r eː f
<|DUT|>schuiven	s x œ y̯ v ə n
<|DUT|>schuldig	s x ʏ l d ə x
<|DUT|>schutting	s x ʏ t ɪ ŋ
<|DUT|>script	s k r ɪ p t
<|DUT|>seconde	s ɛ k ɔ n d ə
<|DUT|>sedert	s eː d ə r t
<|DUT|>sein	s ɛ i̯ n
<|DUT|>serre	s ɛː r ə
<|DUT|>sier	s i r
<|DUT|>simultaan	s i m ʏ l t aː n
<|DUT|>sjiitisch	ʃ i i t i s
<|DUT|>slachting	s l ɑ x t ɪ ŋ
<|DUT|>slagen	s l aː ɣ ə n
<|DUT|>sleutelrol	s l øː t ə l r ɔ l
<|DUT|>slib	s l ɪ p
<|DUT|>sloeber	s l u b ə r
<|DUT|>sluiten	s l œ y̯ t ə n
<|DUT|>snede	s n eː d ə
<|DUT|>spanjaard	s p ɑ n j aː r t
<|DUT|>spook	s p oː k
<|DUT|>sporthal	s p ɔ r t ɦ ɑ l
<|DUT|>spreekt	s p r eː k t
<|DUT|>springt	s p r ɪ ŋ t
<|DUT|>spuiten	s p œ y̯ t ə n
<|DUT|>staart	s t aː r t
<|DUT|>staat	s t aː t
<|DUT|>stabiel	s t aː b i l
<|DUT|>stagiair	s t aː ʒ ɛː r
<|DUT|>steel	s t eː l
<|DUT|>steen	s t eː n
<|DUT|>stekel	s t eː k ə l
<|DUT|>stekelhuidige	s t eː k ə l ɦ œ y̯ d ə ɣ ə
<|DUT|>step	s t ɛ p
<|DUT|>stiekem	s t i k ə m
<|DUT|>stom	s t ɔ m
<|DUT|>stomp	s t ɔ m p
<|DUT|>stond	s t ɔ n t
<|DUT|>stoppen	s t ɔ p ə n
<|DUT|>strafstudie	s t r ɑ f s t y d i
<|DUT|>stroop	s t r oː p
<|DUT|>stropen	s t r oː p ə n
<|DUT|>structuur	s t r ʏ k t y r
<|DUT|>struikelen	s t r œ y̯ k ə l ə n
<|DUT|>studie	s t y d i
<|DUT|>stuk	s t ʏ k
<|DUT|>suppletie	s ʏ p l eː t s i
<|DUT|>synagoge	s i n aː ɣ oː ɣ ə
<|DUT|>syndroom	s ɪ n d r oː m
<|DUT|>tabel	t aː b ɛ l
<|DUT|>tak	t ɑ k
<|DUT|>tango	t ɑ ŋ ɡ oː
<|DUT|>taugé	t ɑ u̯ ɡ eː
<|DUT|>teef	t eː f
<|DUT|>tegenspoed	t eː ɣ ə n s p u t
<|DUT|>tegenwerpen	t eː ɣ ə n ʋ ɛ r p ə n
<|DUT|>telefoon	t eː l ə f oː n
<|DUT|>teleurstellen	t ə l øː r s t ɛ l ə n
<|DUT|>tempel	t ɛ m p ə l
<|DUT|>teug	t øː x
<|DUT|>thorn	t ɔ r n
<|DUT|>tien	t i n
<|DUT|>tikken	t ɪ k ə n
<|DUT|>toendra	t u n d r aː
<|DUT|>tong	t ɔ ŋ
<|DUT|>toonbank	t oː n b ɑ ŋ k
<|DUT|>topless	t ɔ p l ə s
<|DUT|>totdat	t ɔ t d ɑ t
<|DUT|>traag	t r aː x
<|DUT|>treffen	t r ɛ f ə n
<|DUT|>trend	t r ɛ n t
<|DUT|>tromp	t r ɔ m p
<|DUT|>trouwen	t r ɑ u̯ ə n
<|DUT|>twijfelen	t ʋ ɛ i̯ f ə l ə n
<|DUT|>typesoort	t i p ə s oː r t
<|DUT|>uil	œ y̯ l
<|DUT|>uitdragen	œ y̯ d r aː ɣ ə n
<|DUT|>uitdunnen	œ y̯ d ʏ n ə n
<|DUT|>uiterwaard	œ y̯ t ə r ʋ aː r t
<|DUT|>uitgesproken	œ y̯ t x ə s p r oː k ə n
<|DUT|>uitgestoken	œ y̯ t x ə s t oː k ə n
